"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",153,471,586,2107,1092,3.7970061238376,1.0388681018487,4409,
"q10",587,1015,755,1734,269,3.01903669724771,1.18986890633082,4360,
"q11",324,595,704,1946,640,3.47113328581611,1.13937715356139,4209,
"q12",107,258,525,2292,1184,3.95923041685754,0.920274750323305,4366,
"q13",46,73,316,1870,2005,4.32598607888631,0.77213443745383,4310,
"q14",210,422,551,2110,1091,3.78695255474453,1.07031094674927,4384,
"q15",236,360,624,2157,978,3.75338691159587,1.06097275797643,4355,
"q16",59,152,521,2555,1072,4.0160587290663,0.791602885455769,4359,
"q17",415,433,811,1599,901,3.51406588122145,1.22080402561717,4159,
"q18",268,614,952,1926,605,3.45498281786942,1.0840485912717,4365,
"q19",283,541,619,1985,942,3.63203661327231,1.14023714010285,4370,
"q2",94,478,633,2408,764,3.74708704592186,0.941019488750037,4377,
"q20",116,316,554,2137,1283,3.94303222877894,0.968364652264642,4406,
"q21",451,887,1076,1527,341,3.09808500700607,1.13766341324052,4282,
"q22",597,743,1209,1234,310,2.9797214756902,1.17018568035625,4093,
"q23",714,897,1121,1034,194,2.7719696969697,1.16324626076708,3960,
"q24",497,851,1261,1288,229,2.97600581677169,1.10542733553498,4126,
"q25",460,623,965,1698,389,3.22563482466747,1.15412248917758,4135,
"q26",170,326,576,2356,945,3.81865995883833,0.981437663491181,4373,
"q27",216,447,1373,1676,563,3.44982456140351,1.01162954210926,4275,
"q28",21,68,489,1888,1929,4.28236632536974,0.758592621361075,4395,
"q29",107,379,669,2529,599,3.73173009572729,0.896143311709457,4283,
"q3",242,524,716,1812,1034,3.66358595194085,1.13092352357862,4328,
"q30",363,870,1084,1572,368,3.1672539346958,1.1103277980829,4257,
"q31",306,685,960,1847,447,3.34016489988221,1.09113490154386,4245,
"q32",361,819,1205,1451,389,3.16284023668639,1.10503816919969,4225,0.0137900722934121
"q33",822,1181,1240,644,152,2.53528101015103,1.09579800509386,4039,
"q34",173,297,1018,1944,672,3.64449317738791,0.976985413715557,4104,
"q35",56,116,427,2597,1087,4.06070511323838,0.758913508168993,4283,
"q36",106,342,797,2337,661,3.73179354230497,0.905062123408357,4243,
"q37",417,471,915,1637,675,3.40874848116646,1.18617922785413,4115,
"q38",201,219,578,1959,1029,3.85198193677873,1.02719231445022,3986,
"q39",126,336,854,2297,656,3.70765987350668,0.921364600890046,4269,0.133312930134727
"q4",156,329,596,1948,1354,3.91603924252795,1.02891807081587,4383,
"q40",130,335,777,1914,1187,3.85033387059636,1.00398985442852,4343,0.26744141813022
"q41",464,770,1292,1015,363,3.01101434426229,1.14226631074916,3904,0.0179304067667452
"q42",129,162,339,1759,1926,4.20301274623407,0.950338596455772,4315,
"q43",217,357,668,1721,1357,3.84351851851852,1.10778450331852,4320,
"q44",277,433,749,1638,1160,3.6979093258163,1.16188604462143,4257,
"q45",136,134,877,1649,1142,3.89563230066023,0.974152214153516,3938,
"q46",257,451,901,1696,996,3.63310857940014,1.12426154971219,4301,
"q47",191,259,633,1903,1297,3.90030352556619,1.04123637631572,4283,
"q48",146,268,484,1778,1656,4.04570637119114,1.0212417388174,4332,
"q49",152,207,411,1643,1910,4.14550080962295,1.01190049758705,4323,
"q5",52,155,380,1899,1828,4.22763096893834,0.844022144336528,4314,
"q50",115,286,336,2076,1502,4.0577056778679,0.963236037497513,4315,
"q51",300,374,664,1452,1538,3.82116451016636,1.20276060733051,4328,
"q52",182,278,768,1434,1664,3.95238095238095,1.09356398579448,4326,
"q53",666,1022,1081,1151,294,2.85405790223066,1.18572544872378,4214,0.0163584149525082
"q54",485,565,1106,1352,466,3.18847508807247,1.18508986842054,3974,0.0276069804592999
"q55",203,263,952,1955,531,3.60143442622951,0.979135653278265,3904,
"q56",324,597,931,1935,430,3.36755987668959,1.08664942429972,4217,
"q57",264,524,1140,1598,373,3.33136701718389,1.04317688470143,3899,
"q58",424,668,1015,1632,400,3.22130949504711,1.14164547862858,4139,
"q59",324,508,943,1842,527,3.41988416988417,1.10113731655551,4144,
"q6",89,336,541,2212,1182,3.93165137614679,0.939514172346218,4360,
"q60",316,418,1027,1435,872,3.52335299901672,1.16193007583479,4068,
"q61",488,763,1129,1327,528,3.15206611570248,1.19596920073991,4235,0.0650390280955224
"q62",199,257,974,1728,672,3.63107049608355,1.01486761889286,3830,
"q63",266,798,902,1716,611,3.37456324248777,1.1237193504119,4293,0.0201714641922573
"q64",329,944,1042,1566,399,3.17803738317757,1.1114916860573,4280,0.0334235554999404
"q65",321,664,999,1679,603,3.37013595874355,1.13088946320756,4266,
"q66",430,969,1358,1220,301,2.99836372136512,1.09337158931626,4278,0.139855068265619
"q67",595,912,1191,1189,388,2.96795321637427,1.18765778851145,4275,0.00134532816898495
"q68",193,509,911,1956,716,3.58179696616103,1.04190671333403,4285,
"q69",187,415,662,2100,909,3.73227240814416,1.0385499780283,4273,0.232750909973153
"q7",19,42,79,1472,2769,4.58183063227574,0.623715798163555,4381,
"q70",245,605,648,1958,835,3.59030529014216,1.12066379555763,4291,
"q71",226,562,851,1969,679,3.53953813855843,1.06956455410492,4287,
"q8",14,35,272,2017,2058,4.38080072793449,0.667554513705454,4396,
"q9",870,1258,683,1291,299,2.74801181549648,1.25639682347664,4401,
