"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",20,79,73,226,92,3.59387755102041,1.08924997427036,490,
"q10",54,106,72,216,38,3.16049382716049,1.18189214143357,486,
"q11",34,81,88,223,57,3.38923395445135,1.11088915880931,483,
"q12",2,19,33,259,178,4.20570264765784,0.761609510244598,491,
"q13",1,10,39,195,235,4.36041666666667,0.737665330064281,480,
"q14",20,40,54,234,142,3.89387755102041,1.04155149398767,490,
"q15",23,41,61,212,150,3.87268993839836,1.08687150248925,487,
"q16",5,25,47,256,152,4.08247422680412,0.839004022547508,485,
"q17",26,34,69,180,152,3.86334056399132,1.12519607521404,461,0.000133458541316493
"q18",63,90,105,181,44,3.10973084886128,1.1992254286214,483,
"q19",42,62,73,178,114,3.5543710021322,1.24022979970665,469,
"q2",13,69,69,262,74,3.64681724845996,0.98888115554104,487,0.0113242133774422
"q20",10,42,48,235,157,3.98983739837398,0.971014950763715,492,
"q21",18,34,107,247,76,3.68257261410788,0.948172122630753,482,
"q22",65,79,130,121,46,3.00907029478458,1.20977432044619,441,
"q23",56,81,131,122,31,2.97862232779097,1.14518412009984,421,
"q24",61,93,135,131,28,2.9375,1.13737599810873,448,
"q25",63,54,98,169,47,3.19257540603248,1.22665762674603,431,
"q26",18,31,50,263,128,3.92244897959184,0.971004014389282,490,
"q27",13,32,110,224,89,3.73504273504274,0.938294615874124,468,
"q28",2,4,38,207,240,4.38289205702648,0.699877967903826,491,
"q29",7,47,74,298,57,3.72670807453416,0.847164499056492,483,0.0178930926990025
"q3",13,67,78,210,119,3.72895277207392,1.06014767772607,487,
"q30",35,105,104,195,33,3.18220338983051,1.0868159033625,472,
"q31",37,94,117,180,47,3.22315789473684,1.11221190567172,475,
"q32",42,102,127,153,44,3.11752136752137,1.12641661918258,468,
"q33",120,99,111,81,16,2.47072599531616,1.19110954993924,427,
"q34",36,59,123,178,57,3.35540838852097,1.10487580834969,453,
"q35",8,14,72,263,117,3.98523206751055,0.818518003424074,474,
"q36",21,77,109,204,56,3.42184154175589,1.0419291453529,467,0.0375764989998673
"q37",33,48,111,184,74,3.48444444444444,1.11118138852235,450,
"q38",20,23,63,217,111,3.86635944700461,1.00604276779769,434,
"q39",5,18,53,286,119,4.03118503118503,0.77531206691809,481,
"q4",11,30,58,236,153,4.00409836065574,0.939648896024564,488,
"q40",25,34,111,213,104,3.69199178644764,1.04408856029702,487,0.0702497099499707
"q41",68,84,115,130,41,2.98173515981735,1.21945882253537,438,
"q42",12,16,25,171,261,4.34639175257732,0.90887063873159,485,
"q43",24,40,44,181,195,3.99793388429752,1.12840048200698,484,
"q44",40,38,70,151,176,3.81052631578947,1.2502720112656,475,
"q45",14,23,70,169,175,4.03769401330377,1.01363942939822,451,
"q46",28,50,90,167,149,3.74173553719008,1.16781984606127,484,
"q47",24,41,67,179,170,3.89397089397089,1.12878300578591,481,
"q48",11,29,36,181,228,4.20824742268041,0.972734717802093,485,
"q49",11,17,35,161,260,4.32644628099174,0.921810137059314,484,
"q5",5,20,61,199,203,4.17827868852459,0.875739352166487,488,
"q50",11,29,26,212,206,4.18388429752066,0.944236409233995,484,
"q51",24,35,68,147,211,4.0020618556701,1.14541661025236,485,
"q52",18,21,74,140,230,4.12422360248447,1.06095019637719,483,
"q53",49,105,123,165,36,3.07112970711297,1.12860797170261,478,
"q54",32,38,139,181,63,3.45253863134658,1.05828963340499,453,0.0494064858918609
"q55",15,42,88,222,79,3.69058295964126,0.979911081073225,446,
"q56",26,58,91,240,58,3.52008456659619,1.03545126146393,473,
"q57",32,60,99,201,47,3.38952164009112,1.07948046816589,439,
"q58",51,82,99,195,42,3.20255863539446,1.16001485552447,469,
"q59",37,70,100,216,50,3.36363636363636,1.10032212680773,473,
"q6",8,28,60,256,138,3.99591836734694,0.883837881217731,490,
"q60",25,33,107,175,110,3.69333333333333,1.08818313668955,450,
"q61",30,59,138,178,75,3.43541666666667,1.08702531853929,480,0.170531307073484
"q62",23,45,107,175,76,3.55399061032864,1.06854295073183,426,
"q63",21,100,105,192,63,3.36590436590437,1.08359051267921,481,
"q64",26,88,102,210,56,3.37759336099585,1.07637453418188,482,
"q65",42,93,105,173,66,3.26722338204593,1.17842832632662,479,
"q66",35,80,151,179,33,3.19874476987448,1.03615889489775,478,0.0714941900475436
"q67",107,134,122,86,31,2.58333333333333,1.19904856738375,480,0.00144650493443715
"q68",47,97,126,164,48,3.14315352697095,1.14547142937189,482,
"q69",16,56,72,243,91,3.70502092050209,1.01292273809801,478,0.413316365365024
"q7",1,3,11,149,327,4.62525458248473,0.58387663495931,491,
"q70",70,125,72,161,53,3.004158004158,1.27311272411991,481,
"q71",23,50,112,222,75,3.57261410788382,1.02561629585758,482,
"q8",6,32,196,256,0,4.43265306122449,0.67116714722194,490,
"q9",51,135,60,205,40,3.09775967413442,1.19463728219203,491,
