"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",17.1636841833,12.4935551074,11.6738279411,35.2157990997,22.4584919355,3.35064935064935,1.41203691772069,99.005358267,
"q10",11.5269876519,14.0703070839,7.7896748322,54.1976250985,11.4207636005,3.4025974025974,1.21676599250615,99.005358267,
"q11",17.2582873951,12.4612317713,6.5682826443,35.3056906811,22.0278741689,3.36986301369863,1.44824462055763,93.6213666607,0.146885321834998
"q12",6.4032814633,6.5103028396,7.5552609935,39.8668355868,38.6696773838,4,1.15849266858185,99.005358267,
"q13",5.2057812746,5.2698373303,12.8596024602,27.7808312739,46.4008976415,4.09210526315789,1.14516527574492,97.5169499805,
"q14",3.8181138628,2.8876297727,7.5350680306,44.0958849242,37.9397878809,4.14666666666667,0.968327247193663,96.2764844712,
"q15",13.4518243161,10.4175779249,14.096810417,41.0444509373,15.0311918878,3.38356164383562,1.27617197755089,94.0418554831,
"q16",1.4939214074,3.7023232065,10.3632406266,43.414733444,38.7906740732,4.18421052631579,0.874993734313406,97.7648927577,
"q17",20.6135700107,3.8504228812,18.5618070937,26.9788175717,22.8279494679,3.30555555555556,1.4692998130171,92.8325670252,
"q18",15.4438602732,13.0169086079,17.283830521,37.9629332297,14.0573601259,3.23684210526316,1.3050509165304,97.7648927577,
"q19",18.2319547366,14.0194224494,8.8541016586,36.3659817891,14.8724359109,3.18055555555556,1.40748891261126,92.3438965446,
"q2",13.3993888943,10.106305491,5.1785665568,41.9281383143,27.225153148,3.61842105263158,1.34627491262033,97.8375524044,
"q20",6.3306218166,7.8727729473,13.0937630706,39.7358803984,30.4839117476,3.82894736842105,1.15917393454404,97.5169499805,
"q21",7.8025029495,15.2827146474,17.077790544,44.0290486311,14.813301495,3.44155844155844,1.16408430800561,99.005358267,
"q22",18.324499553,16.023802186,12.7820824658,26.6968079131,17.2213196386,3.12676056338028,1.43357273436274,91.0485117565,
"q23",22.0697215206,9.067833116,23.6850367699,20.3371884308,10.1652183654,2.86363636363636,1.36873173902945,85.3249982027,
"q24",18.1562069154,14.4569641959,24.8575476128,22.9888503643,11.0848282225,2.95774647887324,1.31406261775468,91.5443973109,
"q25",18.1466702547,10.5907022429,27.565454537,25.4162808845,11.0752915618,3.02777777777778,1.29975319674812,92.7943994809,
"q26",10.4915348967,5.294804806,8.9176411418,36.1651672278,38.1362101947,3.88311688311688,1.27706515901465,99.005358267,
"q27",12.8863695851,6.4088256799,18.5277065488,31.3891637067,24.6202393106,3.53424657534247,1.33418922301172,93.8323048311,
"q28",1.2404655093,2.7343869167,16.8588323622,24.8779650508,53.293708428,4.28571428571429,0.929871848232507,99.005358267,
"q29",6.7207934171,6.1560395073,11.6423593909,45.1526035511,22.7612874785,3.77777777777778,1.11610770117672,92.4330833449,
"q3",15.7277778781,11.1144912866,6.504798045,36.5503746482,26.388579274,3.49333333333333,1.42727611803642,96.2860211319,
"q30",20.5905966665,16.9110145557,11.8743547972,37.0191511318,7.4004363014,2.94520547945205,1.34257640956674,93.7955534526,0.119620525380973
"q31",16.88827346,11.4024721832,21.0808977471,34.2188521439,12.685988937,3.16,1.30529068938064,96.2764844712,
"q32",19.387135764,15.3869512293,20.4434947541,25.0310491706,10.0923054904,2.9,1.33133908833022,90.3409364084,0.056536267458574
"q33",21.8804071275,19.5997437059,11.6987870905,30.2666086341,5.0384217067,2.7536231884058,1.32182802456039,88.4839682647,
"q34",10.7597018988,5.2287633227,10.4279264339,47.2597111122,18.7569805773,3.65277777777778,1.2004661327323,92.4330833449,
"q35",5.162815954,4.128095282,3.966248835,55.5375503932,30.2106478028,4.03896103896104,0.99262488862344,99.005358267,
"q36",7.8025029495,9.5497928416,13.9904000083,47.2021319055,16.3324352801,3.56756756756757,1.1477325004688,94.877262985,
"q37",20.7316745863,11.4761044879,23.8937443116,21.8327971425,13.6100767826,2.97183098591549,1.38328626296652,91.5443973109,
"q38",11.8993599739,5.279373991,20.5402120496,29.8829911114,25.982424928,3.58904109589041,1.29995316623284,93.5843620539,
"q39",6.5620374402,4.9060685993,17.0108889202,36.5575005744,31.3291757374,3.85333333333333,1.14718613835595,96.3656712715,
"q4",14.2488396928,7.7507683489,12.6985535438,30.2217628393,34.0854338422,3.63636363636364,1.40402701755654,99.005358267,
"q40",18.4357266278,10.4235642165,16.7312455272,31.6543999094,20.2720136996,3.27631578947368,1.40093953436519,97.5169499805,0.0264331944977673
"q41",17.1395029781,5.1728002076,8.9331931782,34.7947466412,25.4256048712,3.52112676056338,1.43287079399143,91.4658478763,
