"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",417.7589470046,1032.5041769815,1583.9794371107,7090.2626329202,6694.037782753,4.11150317572336,0.975536495828569,16818.54297677,
"q10",873.2703011896,2242.9136308621,2541.657722784,8240.2248984326,2847.7509609725,3.5995747696669,1.08027897059824,16745.8175142408,0.00151918663847737
"q11",878.3380298867,1604.0295232951,2217.218423599,7319.4131282834,4328.2087618024,3.78239684843458,1.10497489397525,16347.2078668666,0.0535297675683574
"q12",222.1459229371,404.9807821303,1283.33398515,7455.3529075271,7317.9515531186,4.28208515394777,0.810056934454,16683.7651508631,
"q13",168.2966867605,337.611744093,1240.566645565,6574.0497652971,8182.7150568957,4.35411317654308,0.787315848698668,16503.2398986113,
"q14",461.7984363374,1264.925681928,1829.210661464,7521.0051691347,5660.2441136616,4.00891410048622,0.994830909278884,16737.1840625257,
"q15",553.8692702259,937.4419277785,1980.1117115746,7222.710391066,5834.4911367949,4.03047404063205,0.997582979978492,16528.6244374399,
"q16",137.8757085161,400.0476554425,1379.2914305074,8165.6606765284,6598.7946456449,4.2484756097561,0.768806764576706,16681.6701166393,
"q17",732.8656973766,782.4118568917,2005.0648341108,5849.0318148251,6746.9433879254,4.07055730809674,1.06905615610874,16116.3175911296,
"q18",560.8469671936,1302.2031519926,2746.4037406636,7426.3513231207,4637.6337896515,3.86591440479821,1.01983884950906,16673.438972622,
"q19",643.2723432412,1258.1754716521,1990.9785438732,6832.9556137181,5850.0249387134,3.97339881317782,1.05981372207161,16575.406911198,
"q2",270.9609044144,918.2448007562,1610.3871277742,8507.2221469075,5445.1022077999,4.07622228970544,0.885623666568579,16751.9171876522,
"q20",191.2634875214,685.8970538364,1426.0257477864,7807.8329646062,6704.2324204506,4.20157305636785,0.844031764112134,16815.251674201,
"q21",1342.6925827154,3108.0414711127,3679.3882273092,6127.7381750592,2141.6565239426,3.2913564929694,1.15846845341818,16399.5169801391,
"q22",1532.3162392647,1968.9231580883,3913.5799197272,5621.2373566193,2610.0191044031,3.39114431092346,1.18975868390356,15646.0757781026,
"q23",1628.08780455,2559.4635605066,4460.801542539,4501.0186250861,1631.7913320315,3.15063479354913,1.16832156919761,14781.1628647132,
"q24",1215.387565135,2302.2156605909,4405.8609355945,5662.399888172,2089.5795970821,3.33970826580227,1.12181914520337,15675.4436465745,
"q25",1110.2947873684,1688.751473947,3520.8522810656,6473.5845859723,2850.4404194558,3.54276743178865,1.12500288705367,15643.9235478091,
"q26",378.1647446072,740.2577777263,1750.9361480856,8124.5368423108,5748.5096844496,4.08982278481013,0.906804068463231,16742.4051971795,
