"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",26.2566472129,104.2592979584,159.6796005886,789.7130443808,663.2715452846,4.13595166163142,0.907321544303794,1743.1801354253,
"q10",71.0634439669,253.679484536,312.9444981837,860.563237832,238.0626831606,3.53387259858443,1.0407269667785,1736.3133476792,
"q11",67.5581787255,161.517962956,255.8646944245,825.9061098258,391.2877383996,3.78247422680412,1.03254675371756,1702.1346843314,0.157782218421919
"q12",18.2364504765,48.4208779824,186.0645384944,794.1001429992,681.7803596708,4.21116751269036,0.815299060647745,1728.6023696233,
"q13",11.5457983294,15.8897060916,163.6810419206,730.7892023313,787.5930316133,4.33572895277207,0.734704695201139,1709.4987802862,0.0120806638909822
"q14",66.462833568,159.5335751483,259.8536819911,818.8978619514,436.6104982748,3.8054435483871,1.03688318799595,1741.3584509336,
"q15",57.5762971349,99.4004281433,244.5513534673,773.5388149244,527.6242107778,3.96284829721362,0.992046125533299,1702.6911044477,0.0165695199540493
"q16",7.5701970135,48.4699214276,165.0405326778,888.075031422,616.6756797332,4.20345879959308,0.75063329683345,1725.8313622741,
"q17",66.9004521771,66.3940508789,215.7425160277,584.6753047321,703.3870494867,4.11241970021413,1.03693625496828,1637.0993733025,
"q18",45.3109477948,104.9619991675,312.1977787009,807.3019318077,450.6642420459,3.89285714285714,0.953328666555242,1720.4368995168,
"q19",74.0262598407,118.720636147,248.0893830409,701.327553678,580.4430235304,3.94189602446483,1.06219260782442,1722.606856237,
"q2",21.7459049151,89.7545229085,175.391949572,940.7129008994,513.1545828566,4.06155398587286,0.841622535213709,1740.7598611516,
"q20",14.9889357938,44.3585247661,166.7307899712,820.6042649877,700.0645885125,4.23517587939699,0.785282660807748,1746.7471040313,
"q21",136.0233136055,308.878355058,383.8117568604,657.7561236992,192.8585240322,3.27870563674322,1.13764573629303,1679.3280732553,
"q22",134.4654601173,183.2595171237,404.9450796687,584.7932053359,248.5402390503,3.423900789177,1.14748390137546,1556.0035012959,
"q23",155.4414282832,267.8068139856,444.231662122,431.3928267589,167.2609506261,3.14779499404052,1.16925277565965,1466.1336817758,
"q24",115.1703779023,224.4605593557,511.7671979426,503.9774611233,186.6267736749,3.2875,1.0920451323565,1542.0023699988,
"q25",90.9984001446,170.9012296552,396.4315169554,632.4458381004,248.0538010963,3.52223489167617,1.07313415627575,1538.8307859519,
"q26",29.436297192,68.3758505197,205.6309905797,869.3065160082,554.8585435454,4.08324873096447,0.860831043485165,1727.608197845,
"q27",44.4530833541,151.5183805721,494.0121480734,622.5095738172,337.2932778627,3.65,0.999387458829032,1649.7864636795,
"q28",5.9026004017,10.900689712,117.250159676,591.8172849775,1014.9737688624,4.50302419354839,0.673852822249666,1740.8445036296,
"q29",14.6694818705,96.1554885775,232.0657606101,926.5977185715,437.3278276798,3.98766700924974,0.830149475924408,1706.8162773094,
"q3",33.1264770496,107.9441090199,172.2691079145,682.3433944644,734.2633053596,4.15837563451777,0.957052024848967,1729.946393808,
"q30",47.674836807,215.1735837748,332.4913060239,763.2845242245,331.8039073372,3.67289719626168,1.01954018049761,1690.4281581674,
"q31",34.0798948384,118.6374781902,317.054458994,819.2921055002,398.4912045383,3.86174636174636,0.927447273696046,1687.5551420611,
"q32",50.304524177,144.9943305131,377.1205412287,711.5031650926,391.7442589376,3.76020942408377,1.00423002520188,1675.666819949,
"q33",194.879463602,287.8759658523,501.4971436337,401.2244094695,140.4696315796,3.01722158438576,1.15705813851396,1525.9466141371,
"q34",27.7138685145,49.9688995456,319.0572611417,714.829758564,496.554075567,4.00326441784548,0.88252843260959,1608.1238633328,
"q35",3.82637108,15.5858567806,79.8418560866,801.1080035081,816.6000302618,4.41266598569969,0.64214853904185,1716.9621177171,
"q36",15.8409724292,65.3719986882,197.3924167879,821.4308661978,581.990976517,4.12825860271116,0.832046168540553,1682.0272306201,
"q37",46.9307560322,101.5228311958,254.5289673914,630.7415057537,561.3726378602,3.98791208791209,1.01737762998207,1595.0966982333,
"q38",22.6385423208,43.5674873214,168.3986698775,618.1292184043,694.8947338978,4.25565610859729,0.860760099885527,1547.6286518218,
"q39",15.2619971713,36.6300682692,214.1328171134,886.7031080311,535.5036246498,4.12772585669782,0.771968431664574,1688.2316152348,
"q4",31.0736407145,56.5295452499,174.9488198777,734.0192325172,745.1067268755,4.21774193548387,0.877437640664439,1741.6779652348,0.21394734243554
"q40",15.1127669354,64.0429020718,173.0908208036,613.9176069338,862.1463856691,4.31167512690355,0.85380290848962,1728.3104824137,0.15204079647773
"q41",118.0357138897,160.7244382285,423.1480259519,540.3167833239,373.5598764,3.56941431670282,1.16129092669705,1615.784837794,
"q42",21.6721936326,42.8410435038,96.17997172,599.2498527939,966.3211388954,4.42479674796748,0.804637473799041,1726.2642005457,0.00583129930458614
