"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",75,208,288,1225,878,3.98092744951384,0.999818034309415,2674,
"q10",144,276,312,1376,550,3.71933784800602,1.07186730697101,2658,0.00491146123013822
"q11",192,313,342,1130,615,3.64158950617284,1.17939937406004,2592,0.0707176972873929
"q12",37,70,156,1210,1183,4.29216867469879,0.806115305905873,2656,
"q13",32,60,191,1038,1310,4.34321550741163,0.808480807141445,2631,
"q14",123,251,271,1115,900,3.90902255639098,1.10725724222912,2660,
"q15",161,215,267,1179,813,3.8607210626186,1.125713243908,2635,
"q16",46,94,252,1361,904,4.12269476853594,0.847125167104276,2657,
"q17",158,163,310,918,1008,3.96010950332421,1.15129565192664,2557,
"q18",142,278,498,1106,615,3.67222432739674,1.10472725411691,2639,
"q19",202,293,381,1050,696,3.66552250190694,1.19990830664757,2622,
"q2",53,149,222,1405,824,4.05465510742556,0.892205862280403,2653,
"q20",56,164,240,1190,1020,4.1063670411985,0.946249673829687,2670,
"q21",146,351,478,1143,465,3.55361982191251,1.10388435618502,2583,
"q22",292,346,611,753,435,3.28436602379975,1.25060483651095,2437,
"q23",363,467,652,579,214,2.91824175824176,1.21171229561707,2275,
"q24",265,452,663,771,309,3.16544715447154,1.18477240340802,2460,
"q25",245,358,544,897,404,3.35008169934641,1.20463957742888,2448,
"q26",85,152,238,1217,967,4.0639338097029,0.982757911311957,2659,
"q27",115,247,653,959,575,3.64025107885445,1.07071592404143,2549,
"q28",9,35,246,954,1426,4.40561797752809,0.73801545743495,2670,
"q29",60,152,291,1411,687,3.96616685890042,0.903630005031679,2601,
"q3",146,298,440,988,766,3.73161485974223,1.15568262126053,2638,
"q30",161,405,514,1074,411,3.45575048732943,1.12312031915182,2565,
"q31",172,286,455,1141,548,3.61760184473482,1.12885910966333,2602,
"q32",239,375,695,863,372,3.29638364779874,1.1661982574849,2544,
"q33",527,579,739,428,153,2.62943116240725,1.18301704373813,2426,
"q34",96,114,426,1111,774,3.93335977786593,0.997776186589154,2521,
"q35",29,65,153,1249,1106,4.28285933897002,0.777375073939037,2602,
"q36",32,78,267,1395,844,4.12423547400612,0.799288275888288,2616,
"q37",222,244,455,886,632,3.59942599425994,1.22685950618024,2439,
"q38",110,122,323,946,883,3.99412751677852,1.06126192416811,2384,
"q39",19,59,208,1281,1052,4.25544100801833,0.755956728331155,2619,
"q4",100,191,310,1093,968,3.99098422238918,1.0514362005989,2662,0.138361246842121
"q40",56,166,325,992,1104,4.105561861521,0.985809273916798,2643,0.243928554534785
"q41",260,331,515,858,605,3.47372518489685,1.25930747453232,2569,
"q42",62,67,140,822,1548,4.41227737779462,0.88484892740018,2639,0.00823037281797235
"q43",106,170,300,895,1159,4.07642585551331,1.08196572496049,2630,
"q44",150,215,328,946,978,3.91211310661062,1.1559885979447,2617,
"q45",62,65,374,844,1042,4.14746543778802,0.956315787342739,2387,
"q46",131,184,390,1001,910,3.907874617737,1.10496840456886,2616,
"q47",79,116,272,997,1141,4.15355086372361,0.985022174637639,2605,
"q48",75,140,192,915,1319,4.23551684967815,0.992301525743307,2641,
"q49",65,87,170,824,1492,4.36125852918878,0.923859076978571,2638,0.0123211753044832
"q5",38,113,274,1121,1093,4.18150814702539,0.886692450477733,2639,0.132508422800399
"q50",27,50,113,1050,1399,4.41871921182266,0.752129972933517,2639,
"q51",138,191,276,757,1278,4.0780303030303,1.1588376919798,2640,0.00249265876621269
"q52",80,122,337,721,1380,4.21174242424242,1.03127229220886,2640,0.00854904905816068
"q53",244,359,557,974,465,3.40669488264717,1.19967976049018,2599,
"q54",188,214,431,974,724,3.72382457526669,1.17785115826754,2531,
"q55",94,129,381,1139,727,3.92145748987854,0.997112630462395,2470,
"q56",124,195,369,1265,651,3.81566820276498,1.04223538857437,2604,
"q57",100,118,391,1209,636,3.88141809290954,0.981793633252227,2454,
"q58",158,221,453,1079,634,3.71119842829077,1.11816245767712,2545,
"q59",144,208,388,1129,692,3.78758297540023,1.0990843381072,2561,
"q6",63,156,228,1231,978,4.09375,0.945532911048424,2656,
"q60",115,158,457,958,859,3.89831173930114,1.07763501576875,2547,
"q61",183,258,439,981,748,3.71023380605596,1.18252497693733,2609,
"q62",84,89,287,1117,979,4.10250391236307,0.959277283193563,2556,
"q63",110,346,435,1114,618,3.68013724742661,1.097572932753,2623,0.140147854803184
"q64",104,306,436,1149,623,3.71848739495798,1.0727323809828,2618,0.0354742670463757
"q65",164,345,463,997,631,3.61,1.16946859345324,2600,0.0847899360622087
"q66",173,322,603,1026,478,3.50499615680246,1.12440937547707,2602,
"q67",325,447,659,726,448,3.20153550863724,1.26381670520264,2605,0.042567707928901
"q68",84,189,473,1163,706,3.84818355640535,1.00319475749161,2615,0.0501421809321848
"q69",72,210,346,1154,832,3.94261667941852,1.00845877145701,2614,
"q7",10,25,65,714,1836,4.63811320754717,0.618071430912301,2650,
"q70",137,299,402,1143,636,3.70385938097058,1.11246259261787,2617,
"q71",93,238,419,1146,723,3.82779686903398,1.04397876818646,2619,
"q8",16,32,191,1104,1323,4.38259564891223,0.723695031316744,2666,
"q9",146,354,306,1302,561,3.66616710378419,1.11207676272315,2669,
