"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",10020.6121959927,23681.9294151801,29224.834961997,80297.0639332202,36325.5842972753,3.58289009573932,1.12938286999393,179550.024803665,
"q10",14944.2316957834,27779.9017870645,31844.6128843336,83714.603175984,20114.9661050139,3.36934092574844,1.13880599450095,178398.315648179,0.0215808990434326
"q11",15269.0477583712,23985.6025359999,29992.2205344198,74908.1348036589,29709.939819635,3.49203683326577,1.18329562009342,173864.945452085,0.0415091420965098
"q12",4001.2960899869,7713.4199443701,18862.860717231,93723.8153456774,53492.4728363911,4.08845306053241,0.867641565171407,177793.864933656,
"q13",1880.1455687424,2985.9595989181,13742.0012258811,75516.1782223155,82178.0002428669,4.35031084241145,0.761945362210218,176302.284858724,
"q14",16055.7675784719,26622.4958933085,27903.9499344245,74070.2978637868,33702.2605503336,3.48940248027057,1.21259079653371,178354.771820325,
"q15",10006.7888260308,14412.5877393618,29656.1273876459,81424.9772606771,40100.9199582459,3.74023158975529,1.08195315401417,175601.401171962,
"q16",4241.3718741595,7360.0100073819,23501.2014342441,93960.4260584312,48600.9478996144,4.03768574495734,0.859093586573204,177663.957273831,
"q17",14741.2933288541,14504.0566075446,31210.5272349505,66805.8554422519,44278.5830296506,3.6832294518553,1.19197190681384,171540.315643252,
"q18",16054.3674470264,27724.6167243854,43802.3476661907,66031.0927747852,23131.2223050858,3.29471949070653,1.1598305395355,176743.646917473,
"q19",13144.8895932437,20497.6688800264,32330.423553297,68276.9577198966,37629.9268645826,3.58918477944176,1.1764925721991,171879.866611046,
"q2",5358.3588172634,18869.7156477647,27337.0762446262,93557.6278309884,33668.5921778022,3.76757790527618,0.977833639518364,178791.370718445,
"q20",5528.1001562905,14087.253501326,23906.9497623989,88311.9682682048,47446.8349566264,3.88909447715167,0.99236258316028,179281.106644847,
"q21",21084.7978051903,37888.7549333342,46717.0980497931,56408.5220003613,12872.646663993,3.04863589271325,1.13838190093051,174971.819452672,
"q22",31486.9828696366,29794.0415600815,49914.7319651992,45219.5123981902,13252.5231028816,2.89832621082621,1.20978266487313,169667.791895989,
"q23",35524.4095569639,36751.8360186271,47028.9897139562,37559.8008065017,8540.1961884164,2.7582869586257,1.18200659791895,165405.232284465,
"q24",27338.5329828688,37343.3256043812,50421.7135212321,45113.5993064955,10314.9233722236,2.90383598660636,1.15809360417587,170532.094787201,
"q25",25968.654508095,28581.8771588806,45492.3668312793,54103.2043183091,14872.2235283799,3.04816283060174,1.20891157109983,169018.326344944,
