"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",856.9449260746,2280.7650279082,3072.3587729482,11134.1523631645,4858.4421965719,3.75948051948052,1.02961336437698,22202.6632866674,0.0113468347360531
"q10",1635.7122456792,3642.6557658742,4234.2963400027,10384.1750901048,2149.1818076263,3.35340314136126,1.097750659778,22046.0212492872,
"q11",1295.9518703914,2748.8563112986,4049.955160689,10081.7972792085,3400.3445962355,3.54389721627409,1.09128122521878,21576.905217823,0.0279482048713818
"q12",307.9320643291,677.6707193246,2264.3589317937,11941.3414035819,6835.9065000492,4.1119832548404,0.810931719149396,22027.2096190785,
"q13",124.1808684328,255.9971967197,1760.3856763084,9691.9198602145,9999.3965936602,4.33456855479089,0.725793207730545,21831.8801953356,
"q14",1816.2881041033,3293.6678539931,3497.5811021935,9482.8967146049,3979.8269800624,3.46133751306165,1.19496219398048,22070.2607549572,
"q15",1410.739282086,2260.0262054647,4009.4006389395,9881.5569872819,4094.3642312885,3.62367303609342,1.09072860576984,21656.0873450606,
"q16",470.6208563687,843.4875527568,2833.2445793499,12139.0756868124,5695.9901457708,4.01100052383447,0.838902456642446,21982.4188210586,
"q17",1463.2418297042,1429.729936837,4289.8035785706,8554.6350249114,4867.943921577,3.67576601671309,1.1266746044377,20605.3542916002,
"q18",1515.1876808031,3120.8213855601,5547.3234435139,8980.5195482887,2560.4819615427,3.36777954425013,1.08316946762456,21724.3340197085,
"q19",1684.231599117,2845.1439450389,4584.288400665,8141.7821089536,3737.4843045465,3.44675040961223,1.16425781723508,20992.930358321,
"q2",408.5520490862,1981.6095796357,3159.6341550069,12580.1690337125,3964.0423713216,3.80365535248042,0.904006643077143,22094.0071887629,
"q20",456.628932079,1312.5995843083,2608.9604392595,11416.2298837217,6385.8755577474,3.99427977119085,0.911522116533555,22180.2943971159,
"q21",2076.8840346933,4324.3338078413,6370.9522579898,7330.430097309,1396.7701444189,3.06581059390048,1.08644197023324,21499.3703422523,
"q22",3287.306816889,3647.5744033023,6462.6782749994,5961.1443799187,1493.0818640201,2.95416896742131,1.16751519310473,20851.7857391295,
"q23",3994.0614213172,4482.7612365748,6208.5545223365,4357.2331296491,736.8121530553,2.6838747099768,1.13067084102632,19779.4224629329,
"q24",3111.2226475669,4351.9957005018,7185.5180959053,5178.883291136,863.6974950948,2.84808013355593,1.08634106166572,20691.3172302048,
"q25",2773.6275894821,3438.0821555265,6472.3643450212,6341.4345583655,1304.579917826,3.0243350311262,1.12722752761615,20330.0885662213,
"q26",787.7696242112,1302.2603262742,2931.2565205354,12331.5876359293,4718.9491668578,3.85101934134867,0.943082198761875,22071.8232738079,
"q27",1047.6814079229,1882.4124006946,6604.3153737263,8661.3571343088,3026.6618680699,3.50570342205323,1.00113797046499,21222.4281847225,
"q28",72.5915615974,227.541712659,2967.8372889772,9400.2496798646,9350.2447942319,4.27591623036649,0.75271192832231,22018.4650373301,
"q29",506.1276817535,1807.9805826234,3670.9525561544,12408.5399814877,3055.8049291698,3.7250268528464,0.88549531934938,21449.4057311888,
"q3",1171.8682116283,2605.7586264039,4018.5568837475,9305.4162860714,4927.4540502077,3.64921465968586,1.1111544126978,22029.0540580588,
"q30",1618.9020113247,3534.5823152815,5758.4833229527,8528.2297610347,1778.9008821589,3.25529603476372,1.06628440197855,21219.0982927525,0.0245941499901914
"q31",1584.4467148422,3314.6686815652,5543.4917277338,8661.3926556088,2037.5977153212,3.30359085963003,1.07391405577814,21141.5974950712,
"q32",1973.735515919,3596.972699601,7112.6176823392,6651.7099380271,1611.4541691192,3.11861614497529,1.0717088420531,20946.4900050055,
"q33",4979.6724737025,4839.0749064541,5779.4881102879,3899.4307439911,831.5061885493,2.55201819215463,1.15789576500943,20329.1724229849,
"q34",858.8419144171,1080.9898858175,5033.2788480153,9537.9095807296,3585.3756369853,3.69724770642202,0.954545483027695,20096.3958659648,
"q35",434.2300017275,1071.1037379233,2849.0394269093,12281.4941850317,4959.7993629104,3.9392,0.855351912573796,21595.6667145022,
"q36",418.7613192894,824.4443594929,2831.1510610251,12787.4232754821,4706.7610110241,3.94983991462113,0.827737559345534,21568.5410263136,
"q37",1950.6858432007,2229.5895711845,4996.6351361881,7453.3507761438,3351.1570328165,3.42059838895282,1.16895718345966,19981.4183595336,
"q38",985.1067462379,1020.8518282815,3566.5963539775,8905.2450407704,4896.3334642586,3.82415630550622,1.02999287450238,19374.1334335259,
"q39",252.5717593238,938.329323021,2872.5326323636,12794.8208239059,4550.398588588,3.96344086021505,0.787036569581315,21408.6531272023,0.0185017437837783
"q4",775.300281927,1697.4294566373,3526.6454251914,9749.5542560123,6371.3127724278,3.86586638830898,1.03377117976489,22120.2421921958,0.197327272042871
"q40",570.9051692181,1555.9399650902,4440.6094184812,10416.553084831,4782.4625630786,3.795346377578,0.961094792445008,21766.4702006991,0.255840678475231
"q41",2708.0408783042,3333.3841399068,6721.0954709452,4933.7828810285,1700.9204471576,2.97502972651605,1.14008444131198,19397.2238173423,
"q42",637.558172875,843.1915448235,2218.7368862609,9658.773079337,8231.3920361604,4.11526147278549,0.944567043161791,21589.6517194568,0.013141677744745
"q43",992.0426014863,1664.0655010951,4230.2295340568,8760.5660298716,5926.8554882641,3.7982924226254,1.0698395266526,21573.7591547739,
"q44",1329.5341627794,1989.7985994607,4491.8408972326,8106.5090712688,5384.2098157215,3.67243243243243,1.12916354221122,21301.892546463,
"q45",637.5835041685,696.9145242264,4213.5139973013,7994.5330413298,5602.334174292,3.90925480769231,0.968318798965024,19144.879241318,
"q46",1177.3666675402,2131.2626212164,4910.9607114286,8411.8904467515,4876.1478038837,3.63402889245586,1.09887906738286,21507.6282508204,
"q47",1069.7650219512,1304.0752576661,3879.2713558178,9410.2913134955,5530.9544020465,3.80130293159609,1.050924135615,21194.3573509771,
"q48",703.1474391481,882.3677961953,2650.7040786033,9246.1976196799,8164.1215503303,4.06376195536663,0.977239264017074,21646.5384839569,
"q49",491.5200321594,635.8828584182,1843.3217378115,9326.6694521942,9295.3235472733,4.20149253731343,0.908577150169949,21592.7176278566,
"q5",256.244006238,800.4894307884,2611.9881222265,9782.9560648969,8525.8862655762,4.16447714135575,0.860244339252156,21977.563889726,0.0294127658270048
"q50",719.1263773411,2007.2134244725,2326.3379747094,9672.8808195617,6870.6929987196,3.89989350372737,1.05803367512516,21596.2515948043,
"q51",913.4937201074,1621.7228658384,3640.2200046532,7647.8522149701,7763.9431092417,3.90783164624401,1.09978067080701,21587.2319148108,0.0399188300792271
"q52",663.7295423189,1281.0777853477,3693.8887067521,7106.8971153864,8823.3693286689,4.02931769722815,1.05055858834621,21568.962478474,
"q53",2424.8889959102,3565.5784551017,6205.5387532687,6962.2138762957,1908.9451140326,3.12037037037037,1.14611014876636,21067.1651946089,
"q54",1730.303514515,1737.5685439796,5326.3447279055,8297.6228767888,3033.1547362347,3.46723646723647,1.11455236088127,20124.9943994236,
"q55",827.2730758076,749.5141150539,4217.4025995603,10149.5892576801,3653.1219646199,3.77849210987726,0.926241385954368,19596.9010127218,
"q56",1135.231781796,1875.9956122909,4609.1308371092,10873.3379514262,2701.3232835563,3.57514921323928,1.00442609895171,21195.0194661786,
"q57",883.3822809652,1348.3621185099,4931.9775300463,9748.9832141172,2578.6307959665,3.60435038212816,0.961227097844592,19491.3359396051,0.0169215649520132
"q58",1287.8351898757,2534.1398177815,4904.1248826363,9225.3062036937,2580.1712388239,3.45291479820628,1.06229015427654,20531.5773328111,
