"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",112,240,284,690,348,3.55077658303465,1.16282936845125,1674,
"q10",130,244,250,822,219,3.45405405405405,1.12839635164393,1665,0.0230784122897145
"q11",134,238,264,655,330,3.49907464528069,1.20319754337152,1621,0.0425310170751577
"q12",42,63,146,819,591,4.11619506321493,0.89999141655864,1661,
"q13",20,24,95,651,839,4.39042357274402,0.768582491682026,1629,
"q14",124,186,221,692,442,3.68588588588589,1.19058766555596,1665,
"q15",102,136,229,747,435,3.77440873256519,1.11316047496778,1649,
"q16",25,56,180,876,518,4.09123867069486,0.827732352195604,1655,
"q17",140,156,285,570,473,3.66502463054187,1.23108571046181,1624,
"q18",151,268,399,592,239,3.30321406913281,1.17322292942647,1649,
"q19",115,178,277,619,448,3.67623701893708,1.18579758165881,1637,
"q2",43,183,238,790,405,3.80229053646775,1.01173789497633,1659,
"q20",50,148,226,806,448,3.86650774731824,1.00270883420918,1678,
"q21",191,334,448,517,141,3.05088902513795,1.15508377804503,1631,
"q22",326,288,488,353,126,2.78810879190386,1.22681445196461,1581,
"q23",269,312,446,436,111,2.87801778907243,1.19454668271214,1574,
"q24",265,331,447,445,133,2.90746452806909,1.20547098505475,1621,
"q25",264,265,377,529,177,3.05583126550868,1.25885447077387,1612,
"q26",79,137,276,846,324,3.72141997593261,1.02056442483947,1662,
"q27",113,190,512,585,244,3.39963503649635,1.08675413933235,1644,
"q28",8,46,230,686,703,4.21338912133891,0.81581998688803,1673,0.0449956589313043
"q29",42,146,260,920,268,3.74938875305623,0.921124624663183,1636,
"q3",112,256,287,600,395,3.55151515151515,1.20190903640404,1650,
"q30",148,325,410,574,176,3.18677281077771,1.14458290756918,1633,
"q31",170,272,406,567,202,3.22201607915894,1.17925977043947,1617,
"q32",206,319,480,431,166,3.01997503121099,1.18214934598094,1602,
"q33",412,400,425,224,78,2.45159194282001,1.17437519002964,1539,
"q34",106,110,495,568,232,3.46988749172733,1.05991998975607,1511,
"q35",63,87,221,843,417,3.8976088289393,0.970706110217093,1631,
"q36",42,90,196,896,405,3.94045426642112,0.904949556687648,1629,
"q37",179,155,336,569,315,3.44144144144144,1.24240672986046,1554,
"q38",116,91,300,595,412,3.72391017173052,1.15104896318673,1514,
"q39",30,58,236,830,464,4.01359703337454,0.862071280438964,1618,
"q4",76,161,253,686,485,3.80854906682721,1.09904630159189,1661,0.206619590182614
"q40",95,169,373,639,371,3.62052216150577,1.11267587410475,1647,0.183101225625049
"q41",212,279,510,305,167,2.95655125594026,1.19362530090222,1473,
"q42",63,83,169,683,639,4.07025045815516,1.01904876701516,1637,
"q43",103,148,248,616,515,3.79263803680982,1.16526136263171,1630,
"q44",113,172,312,571,453,3.66563849475632,1.18862303989183,1621,
"q45",63,70,393,535,455,3.82387862796834,1.04296340735785,1516,
"q46",116,173,327,605,409,3.62453987730061,1.1732171812036,1630,
"q47",88,151,311,650,420,3.7179012345679,1.11092081961205,1620,
"q48",70,113,200,640,611,3.98470012239902,1.07656023378287,1634,
"q49",68,75,162,642,686,4.1041028781384,1.03324117356159,1633,
"q5",28,55,154,706,717,4.22228915662651,0.871826562958447,1660,0.0556593448157956
"q50",75,149,187,687,532,3.89079754601227,1.09985265020967,1630,
"q51",129,126,263,533,583,3.80477356181151,1.22455054834367,1634,
"q52",78,111,294,487,663,3.946723821188,1.13391483399851,1633,
"q53",212,297,401,478,219,3.12134411947729,1.24149357101153,1607,0.0134617423852667
"q54",164,171,328,555,344,3.47631241997439,1.24088568510445,1562,
"q55",79,107,316,705,333,3.71818181818182,1.04034623025775,1540,
"q56",123,187,320,701,268,3.50281425891182,1.13200602115745,1599,
"q57",95,124,389,665,244,3.55306526038233,1.05300745528386,1517,0.0164732105155185
"q58",152,205,376,609,231,3.35727908455181,1.16817672751975,1573,
"q59",131,153,394,624,261,3.46769033909149,1.13243371625821,1563,
"q6",45,123,180,734,572,4.00665054413543,0.998767190487967,1654,
"q60",111,139,360,526,408,3.63536269430052,1.17152132479382,1544,
"q61",127,175,369,555,382,3.55348258706468,1.18940575895497,1608,0.042900665778325
"q62",108,124,385,536,335,3.58198924731183,1.13866960438083,1488,
"q63",101,270,354,601,290,3.43873762376238,1.14679119559158,1616,0.130611797945589
"q64",132,318,401,533,230,3.2546468401487,1.16636583782159,1614,
"q65",143,322,397,510,229,3.22485946283573,1.18296518159325,1601,0.0367956345789438
"q66",130,279,458,534,207,3.25435323383085,1.13137347001955,1608,
"q67",286,368,460,349,147,2.81552795031056,1.21984109889446,1610,0.0359905619814351
"q68",131,246,404,590,239,3.34782608695652,1.14819213459216,1610,0.0781944877171147
"q69",91,170,287,694,370,3.6712158808933,1.10911365310966,1612,
"q7",6,16,52,507,1087,4.59052757793765,0.636488160143807,1668,
"q70",120,257,279,681,276,3.45629262244265,1.16455313900851,1613,
"q71",115,229,360,651,256,3.43699565487275,1.13015006395693,1611,
"q8",5,18,113,676,861,4.4166168559474,0.691981609214311,1673,
"q9",219,425,248,567,213,3.07775119617225,1.27346728951362,1672,
