"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",193,442,579,1462,699,3.60207407407407,1.12214671183464,3375,
"q10",307,521,522,1538,458,3.39420203227735,1.17256219386571,3346,
"q11",284,388,580,1435,571,3.4975445058318,1.16710626986058,3258,
"q12",56,95,277,1769,1149,4.15361625821877,0.816687180110669,3346,
"q13",31,50,175,1144,1907,4.46537647414575,0.747001589799677,3307,
"q14",219,322,548,1373,844,3.69600725952813,1.14665695709501,3306,
"q15",183,276,400,1471,1000,3.84954954954955,1.1064713551715,3330,
"q16",38,59,262,1734,1244,4.22475277195085,0.757740911710351,3337,
"q17",215,225,559,1185,959,3.77887368755966,1.15607564150352,3143,
"q18",273,421,761,1305,570,3.44384384384384,1.15513387717446,3330,
"q19",174,248,318,1413,1178,3.95256679675773,1.10234605864008,3331,
"q2",131,380,465,1718,660,3.71437090041741,1.02901064408329,3354,
"q20",82,203,377,1580,1125,4.02851202851203,0.951788329172029,3367,
"q21",206,454,793,1284,393,3.38466453674121,1.08313193266628,3130,
"q22",340,441,886,948,414,3.21624298448333,1.18658296930836,3029,
"q23",319,414,791,912,337,3.1925712225027,1.17807761683106,2773,
"q24",339,512,883,930,369,3.15759973623475,1.17676877004489,3033,
"q25",325,360,767,1146,432,3.33003300330033,1.17809418488147,3030,
"q26",108,206,341,1635,1060,3.99492537313433,0.977029967749682,3350,
"q27",121,245,879,1202,656,3.65323880116017,1.02056307229965,3103,
"q28",21,28,290,1290,1737,4.39453357100416,0.732205327227513,3366,
"q29",105,283,526,1798,524,3.72713226205192,0.944529156990675,3236,0.0240347478340875
"q3",217,430,626,1289,756,3.58378541289934,1.16218786418519,3318,
"q30",297,542,800,1167,401,3.25974430932336,1.15604583852256,3207,
"q31",289,477,684,1292,451,3.35671782023176,1.16371337661752,3193,0.00131980406052367
"q32",320,526,967,928,370,3.16136290581807,1.15279554263205,3111,
"q33",395,547,885,884,279,3.03511705685619,1.17451935729149,2990,
"q34",160,177,808,1199,568,3.63118131868132,1.03658410567068,2912,
"q35",185,265,652,1494,614,3.65015576323988,1.05889588394014,3210,
"q36",125,223,522,1710,697,3.80286847726579,0.974123856730778,3277,
"q37",270,275,665,1179,624,3.53501493528045,1.17628682951402,3013,
"q38",153,127,516,1277,812,3.85545927209705,1.0455517221865,2885,
"q39",84,157,526,1782,691,3.87623456790123,0.887526345417037,3240,0.0406101581301034
"q4",141,250,458,1429,1084,3.91165972635336,1.06117029628474,3362,
"q40",125,285,573,1443,913,3.8188080263552,1.04445508079637,3339,0.213722755829241
"q41",369,485,750,1001,518,3.26064681396094,1.24276683594778,3123,
"q42",95,126,224,1130,1743,4.2959614225437,0.956605312637895,3318,
"q43",163,241,589,1121,1195,3.88969477183439,1.12339346418282,3309,
"q44",170,234,445,1197,1249,3.94719271623672,1.12254745588685,3295,
"q45",99,66,520,1073,1226,4.09282841823056,0.981779451353311,2984,
"q46",155,229,486,1252,1189,3.93355481727575,1.09535990026933,3311,
"q47",150,183,489,1220,1221,3.97425681887833,1.07787480415642,3263,
"q48",91,164,309,1187,1579,4.2009009009009,0.984804539573566,3330,
"q49",82,91,249,1131,1766,4.32811087677011,0.911993500209049,3319,
"q5",63,119,369,1432,1344,4.16471295461377,0.895256642569515,3327,
"q50",45,86,126,1366,1702,4.38165413533835,0.793452618900665,3325,
"q51",158,218,391,1000,1551,4.07534659433394,1.12755432745194,3318,
"q52",94,149,383,977,1722,4.22827067669173,1.00745454884459,3325,
"q53",384,566,845,998,429,3.16201117318436,1.21199507454684,3222,
"q54",234,255,767,1151,575,3.52917505030181,1.1300776084329,2982,
"q55",121,156,612,1338,680,3.79119367045064,0.995214730564411,2907,
"q56",188,238,572,1605,647,3.70307692307692,1.04918576804112,3250,0.00635060207317544
"q57",140,159,629,1496,627,3.75745657161586,0.987216298819231,3051,
"q58",276,358,684,1246,555,3.46361013145239,1.16854483582317,3119,
"q59",233,320,683,1259,588,3.53486863444697,1.13652726830546,3083,
"q6",75,176,307,1623,1166,4.08425455631909,0.919380267487655,3347,
"q60",183,220,625,1137,905,3.76905537459283,1.12631086664561,3070,0.00853883133116441
"q61",228,365,799,1156,700,3.53417487684729,1.15161227732545,3248,0.0536285672801585
"q62",163,218,723,1145,734,3.69359704994972,1.08584386968879,2983,
"q63",197,564,783,1225,526,3.40030349013657,1.12284330094587,3295,0.03952234573537
"q64",181,519,705,1403,495,3.45776566757493,1.09149266688398,3303,0.0433429241914777
"q65",255,480,728,1236,593,3.43499392466586,1.16740507515783,3292,
"q66",248,507,1005,1129,393,3.27787934186472,1.09674840689829,3282,0.151076848740803
"q67",471,599,1026,836,361,3.00516246583662,1.20283588535437,3293,0.0168517085425998
"q68",269,531,731,1283,483,3.35790112223233,1.15535854191063,3297,
"q69",143,271,499,1551,835,3.8075174295241,1.04227988192149,3299,0.290620767507652
"q7",16,15,79,1077,2168,4.59940387481371,0.609407174455932,3355,
"q70",182,371,458,1545,749,3.69833585476551,1.10417445403334,3305,0.0601956618027001
"q71",172,360,631,1532,609,3.61924939467312,1.0653795223497,3304,
"q8",11,34,274,1419,1631,4.37281092312259,0.704530107500532,3369,
"q9",381,614,512,1377,478,3.28465199286139,1.23840507975962,3362,
