"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",2,3,3,16,8,3.78125,1.1283552117445,32,0.046983429312587
"q10",1,3,3,14,11,3.96875,1.0620848334989,32,
"q11",3,4,1,10,13,3.83870967741935,1.36861911413289,31,0.141616138621126
"q12",1,11,19,0,0,4.58064516129032,0.564162715794365,31,
"q13",2,9,20,0,0,4.58064516129032,0.620440356971675,31,
"q14",2,4,16,10,0,4.0625,0.840026881290309,32,
"q15",10,5,15,0,0,4.16666666666667,0.912870929175277,30,
"q16",1,4,15,11,0,4.16129032258065,0.778750032361621,31,
"q17",4,1,1,9,16,4.03225806451613,1.37801477901465,31,
"q18",5,3,6,12,5,3.29032258064516,1.32145244301102,31,
"q19",1,1,4,5,14,4.2,1.11803398874989,25,
"q2",1,1,4,12,14,4.15625,0.987318786966385,32,
"q20",1,2,3,12,14,4.125,1.03954084156916,32,
"q21",3,6,5,9,9,3.46875,1.34366794573179,32,
"q22",5,4,7,7,9,3.34375,1.42804569819353,32,
"q23",4,2,6,8,9,3.55172413793103,1.37804745140547,29,
"q24",3,3,7,10,8,3.54838709677419,1.26065352568735,31,
"q25",3,2,6,11,8,3.63333333333333,1.24522074855974,30,
"q26",2,1,4,10,15,4.09375,1.1460837947184,32,
"q27",2,1,4,13,12,4,1.10716143882132,32,
"q28",2,5,25,0,0,4.71875,0.581120996783997,32,
"q29",2,1,4,12,13,4.03125,1.12118528870696,32,
"q3",2,5,5,10,9,3.61290322580645,1.25638155974048,31,
"q30",4,4,3,10,10,3.58064516129032,1.40888120030013,31,
"q31",1,6,2,10,13,3.875,1.23784411963548,32,
"q32",2,5,8,9,8,3.5,1.21814242506446,32,
"q33",5,4,8,9,4,3.1,1.29588207211443,30,
"q34",2,2,8,11,8,3.67741935483871,1.13686987746161,31,
"q35",1,2,13,16,0,4.375,0.751342883796911,32,
"q36",2,2,16,12,0,4.125,1.00803225754837,32,0.0963671153647694
"q37",4,1,3,7,16,3.96774193548387,1.40199550564524,31,
"q38",3,3,10,16,0,4.125,1.21150399730412,32,
"q39",1,1,2,12,16,4.28125,0.95830411362654,32,
"q4",1,1,4,12,14,4.15625,0.987318786966385,32,
"q40",1,3,5,9,14,4,1.13592366849413,32,
"q41",3,3,7,8,10,3.61290322580645,1.3083684331981,31,0.0557491735868966
"q42",1,1,4,9,16,4.2258064516129,1.02338254233546,31,
"q43",3,1,7,13,8,3.6875,1.17603763380643,32,
"q44",2,2,7,9,12,3.84375,1.19432461681177,32,
"q45",2,8,8,13,0,3.96774193548387,1.13970379098378,31,
"q46",1,2,10,8,11,3.8125,1.09064940701962,32,
"q47",1,3,7,8,13,3.90625,1.1460837947184,32,
"q48",1,1,5,11,13,4.09677419354839,1.01175882204135,31,
"q49",1,1,5,9,15,4.16129032258065,1.03591422404072,31,
"q5",2,13,17,0,0,4.40625,0.797551697181706,32,0.107518344311083
"q50",1,7,11,12,0,4.09677419354839,0.870051290046643,31,
"q51",2,1,8,9,11,3.83870967741935,1.15749079747381,31,
"q52",2,3,13,12,0,4.16666666666667,0.874281314047117,30,
"q53",2,4,4,9,12,3.80645161290323,1.2759141778534,31,
"q54",2,3,3,9,14,3.96774193548387,1.25123594811269,31,
"q55",2,1,4,9,15,4.09677419354839,1.16489881419453,31,
"q56",2,1,4,10,13,4.03333333333333,1.15917132509372,30,
"q57",2,1,2,10,15,4.16666666666667,1.14721050989912,30,
"q58",3,4,3,9,12,3.74193548387097,1.36547285913425,31,
"q59",3,3,3,9,12,3.8,1.34932933532641,30,
"q6",1,14,17,0,0,4.46875,0.671271062023142,32,
"q60",2,2,6,18,0,4.35714285714286,1.12921754995761,28,
"q61",2,1,4,7,17,4.16129032258065,1.18593912698048,31,
"q62",2,6,8,14,0,4.13333333333333,0.973204211243257,30,
"q63",2,1,6,8,14,4,1.18321595661992,31,
"q64",1,4,4,12,10,3.83870967741935,1.12832543158873,31,0.163837895333353
"q65",3,4,2,11,10,3.7,1.3429252681598,30,
"q66",2,3,5,11,10,3.7741935483871,1.2030427373776,31,
"q67",7,3,9,7,5,3,1.39044357430761,31,
"q68",5,3,9,9,5,3.19354838709677,1.30177711452997,31,
"q69",1,3,1,13,13,4.09677419354839,1.07563434647274,31,
"q7",2,4,26,0,0,4.75,0.567961834247065,32,
"q70",6,4,2,12,7,3.32258064516129,1.46940116542292,31,
"q71",2,4,1,12,12,3.90322580645161,1.24779375191248,31,
"q8",1,1,6,24,0,4.65625,0.700662129242646,32,
"q9",6,3,2,15,6,3.375,1.40849954481424,32,
