"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",107,198,227,833,552,3.79551382368284,1.13168482920523,1917,
"q10",147,255,247,966,293,3.52568134171908,1.13432908456038,1908,
"q11",208,263,280,798,327,3.41204690831557,1.23988983163765,1876,
"q12",53,72,142,943,693,4.13032054650552,0.907869701315725,1903,
"q13",22,45,141,751,912,4.32870122928915,0.810640713120518,1871,
"q14",52,111,146,856,730,4.10870712401055,0.965510389796822,1895,
"q15",173,186,282,811,430,3.60520722635494,1.20244058238384,1882,
"q16",41,93,240,1005,518,3.98365840801265,0.889013287791248,1897,
"q17",154,131,244,662,576,3.77815506508206,1.22336557142768,1767,0.000277361148118681
"q18",145,282,426,696,340,3.42562202223399,1.16803287255932,1889,
"q19",257,332,312,638,331,3.2427807486631,1.31089551527062,1870,
"q2",58,192,238,987,433,3.80974842767296,0.996043215253213,1908,
"q20",54,143,221,949,547,3.9362591431557,0.974913674644253,1914,
"q21",122,205,313,855,330,3.5841095890411,1.10950320252116,1825,
"q22",380,313,370,445,247,2.92364672364672,1.36242302534203,1755,
"q23",345,350,446,360,131,2.74387254901961,1.23978072206521,1632,
"q24",399,411,405,376,147,2.68987341772152,1.27050635469645,1738,
"q25",345,274,355,518,220,2.9964953271028,1.3355672584299,1712,
"q26",103,105,220,949,514,3.88101533580116,1.04254177857875,1891,
"q27",99,147,519,683,356,3.5820399113082,1.06339750338655,1804,
"q28",16,26,207,706,951,4.33788037775446,0.789832048569883,1906,
"q29",45,105,206,1095,397,3.91666666666667,0.875327045900953,1848,
"q3",177,307,319,635,458,3.46940928270042,1.27161537687308,1896,
"q30",227,394,385,611,222,3.11256117455139,1.22933402816797,1839,0.0316579255054562
"q31",216,299,349,705,271,3.2804347826087,1.23552976359259,1840,
"q32",256,330,476,532,235,3.08747949699289,1.24028021479185,1829,
"q33",591,473,368,230,90,2.28938356164384,1.20494946687849,1752,
"q34",158,130,348,724,384,3.59977064220183,1.1721182134436,1744,
"q35",17,39,165,947,648,4.19493392070485,0.761683430647984,1816,
"q36",48,109,309,972,389,3.84564860426929,0.913112734877685,1827,
"q37",279,233,342,527,343,3.24477958236659,1.3509745877559,1724,
"q38",149,114,267,612,503,3.73313069908815,1.22072641433265,1645,
"q39",35,82,232,1055,449,3.97193739881274,0.845053177598205,1853,0.121034034681963
"q4",80,121,240,794,676,3.97592883307169,1.05326536045763,1911,
"q40",75,136,284,766,627,3.91843220338983,1.05930118632536,1888,0.213997875240207
"q41",213,256,388,552,342,3.31639063392347,1.27676367402818,1751,0.0339322761315186
"q42",63,62,116,729,914,4.25743099787686,0.955779014301608,1884,
"q43",141,174,284,633,647,3.78286322511974,1.22265798285968,1879,
"q44",175,189,316,635,536,3.63101026472177,1.25869516538121,1851,
"q45",88,73,291,592,604,3.94114077669903,1.09458307869926,1648,
"q46",170,191,334,679,498,3.61111111111111,1.23265927911594,1872,
"q47",140,128,276,722,582,3.79978354978355,1.17635979523721,1848,
"q48",90,123,162,711,804,4.06666666666667,1.0937040090913,1890,
"q49",84,89,139,653,922,4.18706942236354,1.05695808295951,1887,
"q5",33,73,182,815,801,4.19642857142857,0.887389232623663,1904,
"q50",43,86,90,883,782,4.20753715498938,0.8990030982029,1884,
"q51",139,156,236,594,758,3.89006903876792,1.22977674615782,1883,
"q52",89,101,286,531,876,4.06425916091344,1.11963080333451,1883,
"q53",304,307,377,593,274,3.12183288409704,1.31057967201381,1855,0.0253931861135417
"q54",219,157,308,650,420,3.51026225769669,1.28759832933552,1754,0.0156441885138945
"q55",145,157,329,704,370,3.58475073313783,1.1713529753565,1705,
"q56",174,210,321,830,312,3.48511099079589,1.17516291769439,1847,
"q57",126,142,352,765,305,3.58047337278107,1.10479755272425,1690,
"q58",197,262,358,666,327,3.36685082872928,1.23975314723203,1810,
"q59",176,209,343,747,341,3.47797356828194,1.19897084948866,1816,
"q6",83,171,212,922,512,3.84684210526316,1.05420021835762,1900,
"q60",166,142,343,555,582,3.69630872483221,1.25667677099647,1788,
"q61",220,214,355,594,472,3.47654986522911,1.30444636653232,1855,
"q62",104,138,343,679,497,3.75354911981829,1.12336758282274,1761,
"q63",157,318,348,705,346,3.40821771611526,1.20568006281369,1874,
"q64",169,349,362,694,298,3.32211538461538,1.20500568804407,1872,
"q65",223,335,355,590,360,3.28395061728395,1.29171326529971,1863,0.0276576930834233
"q66",219,329,449,598,271,3.19989281886388,1.22801087632261,1866,0.0483884211304438
"q67",368,395,493,385,227,2.84368308351178,1.29155210297544,1868,
"q68",90,211,421,778,367,3.60042849491162,1.0718855923307,1867,
"q69",91,176,269,814,517,3.7980717728977,1.09389641010761,1867,0.352981594447556
"q7",12,13,39,553,1295,4.6244769874477,0.625790751256072,1912,
"q70",173,243,255,737,471,3.58009579563598,1.24772329037678,1879,0.055206408782265
"q71",103,198,316,822,427,3.68167202572347,1.10395661396267,1866,
"q8",11,41,167,793,900,4.32322175732218,0.769053783974279,1912,
"q9",199,363,291,791,266,3.29424083769634,1.22156214108988,1910,
