"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1080,1831,2208,6233,3818,3.65115359261701,1.18286224193787,15170,
"q10",1529,2358,2269,6721,2186,3.3768837548961,1.2030432939589,15063,0.0309929313023554
"q11",1551,2050,2234,5828,2980,3.45318582257734,1.25317950721219,14643,0.065249637348874
"q12",439,580,1300,7006,5708,4.12845074170159,0.93106467416233,15033,
"q13",191,279,1049,5559,7818,4.37849087003222,0.801478512684287,14896,
"q14",855,1368,1854,6400,4576,3.82867202550986,1.12809485586956,15053,
"q15",1077,1232,1960,6029,4476,3.78482469202653,1.17433686021396,14774,0.000642934006615774
"q16",329,498,1668,7400,5080,4.09542570951586,0.878814232814215,14975,
"q17",1502,1261,2704,4552,4058,3.59693116431058,1.279302396816,14077,
"q18",1489,2557,3416,5013,2444,3.29264696025203,1.2150545858399,14919,
"q19",1165,1489,1924,5527,4449,3.72873436855847,1.22231713674681,14554,
"q2",650,1605,1911,7337,3575,3.76813901047884,1.06015318931443,15078,
"q20",546,1138,1731,6813,4929,3.95276110048163,1.03042194989407,15157,
"q21",1406,2361,3280,5460,2108,3.30810810810811,1.18408280381909,14615,
"q22",2372,2175,3487,3938,2005,3.07362094870144,1.29795654319447,13977,
"q23",2432,2620,3667,3377,1231,2.87656636902529,1.23866469853951,13327,
"q24",2204,2848,3692,3833,1503,2.97038352272727,1.23566142081228,14080,
"q25",2101,2117,3167,4469,1960,3.14984798030983,1.27684564705244,13814,
"q26",761,1069,1703,6987,4505,3.8922462562396,1.06867946144951,15025,
"q27",925,1335,3814,5362,2990,3.56543740468598,1.10911544032337,14426,
"q28",158,298,1626,5498,7567,4.32158183138575,0.822267628275754,15147,0.010550132269724
"q29",595,1292,2220,7613,2988,3.75516725591515,1.00482812459389,14708,
"q3",1387,2179,2453,5132,3800,3.52029964550866,1.26733040615583,14951,
"q30",1658,2783,3316,4919,1912,3.18124485878805,1.21412779379905,14588,
"q31",1547,2360,2921,5469,2300,3.3161608549702,1.22093273241103,14597,
"q32",1987,2716,3782,4004,1921,3.08022206800833,1.24290653810322,14410,
"q33",2872,3276,3673,2755,1064,2.6967008797654,1.22659185180164,13640,
"q34",1107,1156,3372,5538,2775,3.55334098078578,1.1345084242786,13948,
"q35",503,793,2052,7280,3954,3.9181868056508,0.966037244749402,14582,
"q36",594,1033,2277,7474,3253,3.80370446312624,0.99363109301975,14631,
"q37",1879,1697,2874,4610,2827,3.34629509613307,1.29995365705563,13887,
"q38",1156,799,2435,5286,3747,3.72033077553453,1.18136709041111,13423,
"q39",565,761,2243,7155,3941,3.8964200477327,0.982514270447497,14665,
"q4",740,1048,1815,6110,5378,3.95010271022464,1.09239880317684,15091,0.130865047920657
"q40",1046,1508,2880,5469,4106,3.67166366846559,1.17764917519494,15009,0.214801266125691
"q41",1864,2117,3135,4040,2750,3.26571264202503,1.30363891411323,13906,
"q42",619,625,1303,5316,7036,4.17625343982818,1.03461237797293,14899,0.00683555432402669
"q43",1082,1336,2216,4949,5285,3.80838041431262,1.21748974562996,14868,
"q44",1215,1382,2315,4992,4796,3.73278911564626,1.23789177876734,14700,
"q45",700,572,2616,4765,4957,3.93365172667156,1.08771344843313,13610,
"q46",1151,1383,2594,5174,4535,3.71166677899845,1.21181249268505,14837,
"q47",1083,1097,2216,5375,4948,3.81581629186765,1.18878661405464,14719,
"q48",639,959,1544,5302,6530,4.07686656871911,1.08333479481648,14974,0.0109607968652698
