"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",827.8117224407,2447.1118627288,3232.4500226096,10607.8639383195,5783.5850935913,3.82300666502098,1.0409036647139,22898.8226396899,
"q10",2113.0927776003,4463.6996906269,3259.5514391529,10827.5021736401,2064.1431534576,3.29122108928127,1.14756719792097,22727.9892344778,0.0103961140390448
"q11",1773.28015946,3352.7791707379,3691.1002119282,9604.695527045,3755.5545638537,3.50933265149578,1.16923580505872,22177.4096330248,0.0240911121685129
"q12",314.4153395426,823.5161637224,1840.789339158,11937.9846053918,7832.9365721819,4.18342020352445,0.834558388295592,22749.6420199967,
"q13",228.4345721646,463.3393589907,1606.147701637,9126.6099973222,11092.9746895757,4.37672782106057,0.788027078071757,22517.5063196902,0.0211933255345718
"q14",1425.0192126983,2613.3113101646,2781.2908152948,10429.5017372488,5558.8392415205,3.69878622739658,1.13897133928956,22807.962316927,
"q15",1129.8809686227,1594.304950666,3009.7296884838,10166.794084393,6357.7735692951,3.91576292559899,1.04440569395692,22258.4832614606,
"q16",516.4457811495,1063.7610992466,2888.4208399686,11687.1968809691,6509.9743749459,4.03885429638854,0.879362387591351,22665.7989762797,
"q17",1581.6281725419,2235.7477510233,3699.7790015361,8522.9604879949,5730.2167818239,3.74265661554458,1.15933324587203,21770.3321949201,
"q18",2168.4983876521,4718.6853689726,5397.6235238314,7776.1470815766,2476.180625212,3.14672686230248,1.15627444556446,22537.1349872447,
"q19",1169.2482818641,2354.9651354013,3381.3517613664,8853.6229493877,5971.6131435975,3.80665978316985,1.12413011698182,21730.801271617,
"q2",433.5871405279,2342.3850310843,3185.2715355664,12457.6022083884,4370.8921740862,3.84285004965243,0.93513544039741,22789.7380896532,
"q20",542.9319741409,1809.9040937586,2397.9424992664,11363.9089876271,6797.1917963729,4.00641816835349,0.956567052191829,22911.8793511659,0.00793523440476828
"q21",1607.3042556749,3822.4648554345,4921.2730969605,9564.765708134,2407.146499374,3.3578814627995,1.10853561601768,22322.9544155779,
"q22",2790.8295946537,4221.425912735,5863.7073838683,6773.1350097519,1743.8857497647,3.13321023476655,1.16769723904331,21392.9836507736,
