"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",578,1397,1717,4452,2364,3.63066235249334,1.1308929534589,10508,
"q10",1205,1925,1558,4279,1440,3.27135581819929,1.24067504586092,10407,0.00404504905229926
"q11",961,1461,1736,3996,1888,3.43706432981478,1.21957953053336,10042,0.0267079235473708
"q12",131,262,761,5429,3863,4.20917097453571,0.782403498295168,10446,
"q13",84,112,464,3577,6091,4.49874128582494,0.708917840358387,10328,
"q14",692,1310,1309,4305,2841,3.6974275604858,1.18411528063629,10457,
"q15",900,1162,1574,4126,2483,3.59834065397755,1.21619344377863,10245,
"q16",175,276,966,5505,3487,4.13872610241137,0.816085375988908,10409,
"q17",754,821,1977,3717,2767,3.68971701873256,1.17471190571065,10036,
"q18",682,1442,2426,4088,1725,3.45662452957638,1.11996380630422,10363,
"q19",650,1050,1359,4269,2794,3.74165184746098,1.15610097636567,10122,
"q2",231,892,1270,5574,2480,3.87872116397052,0.940674663214266,10447,
"q20",316,1072,1515,4927,2666,3.81507240853659,1.02163614094031,10496,
"q21",972,1829,2762,3342,1065,3.1704112337011,1.14324049427941,9970,
"q22",1691,1809,2587,2645,1059,2.95628638545603,1.25564265022492,9791,
"q23",1963,2068,2568,2162,691,2.74079559881507,1.22623204740405,9452,
"q24",1506,2050,2707,2711,901,2.94440506329114,1.20588987259346,9875,
"q25",1412,1504,2224,3226,1294,3.15383022774327,1.25962114843265,9660,
"q26",340,641,1122,5320,3007,3.96001917545542,0.966220537141589,10430,
"q27",513,889,2837,3761,1954,3.57805907172996,1.06041021226338,9954,
"q28",63,199,1500,4733,3967,4.17969795450201,0.787786018272491,10462,
"q29",254,854,1638,5703,1615,3.7522853736089,0.910233506257838,10064,
"q3",758,1595,1995,3730,2282,3.50028957528958,1.19899558679408,10360,
"q30",802,1957,2655,3531,1024,3.20242752532852,1.11459659393152,9969,
"q31",817,1603,2046,4075,1446,3.37348553119055,1.15566417285408,9987,
"q32",1028,1842,2804,3012,1136,3.1411117898595,1.1643492168563,9822,
"q33",2082,2591,2710,1516,545,2.56067344345616,1.16390679776213,9444,
"q34",575,645,2384,4194,1873,3.63540481852962,1.05320888455826,9671,
"q35",345,597,1227,5170,2764,3.9315054934178,0.96650506124065,10103,
"q36",195,380,890,5786,2898,4.06532663316583,0.831703806732619,10149,
"q37",1126,1097,2025,3355,2098,3.43315122152355,1.26523289764139,9701,
"q38",624,488,1678,3903,2741,3.81079075683697,1.11128200010837,9434,
"q39",193,400,1694,5413,2328,3.92570801755086,0.853462694653605,10028,0.0173982359774396
"q4",419,720,1322,4413,3601,3.96009546539379,1.05044249496288,10475,0.117203146608219
"q40",330,756,1674,4405,3068,3.89172285742207,1.01859321949279,10233,0.268305464691818
"q41",691,1141,2345,3159,1980,3.49334478316874,1.1684062198732,9316,
"q42",457,544,1208,4197,3710,4.00425069197311,1.05258748203658,10116,
"q43",664,1033,1830,3625,2945,3.70852728533228,1.17863625400227,10097,
"q44",708,1026,1734,3706,2868,3.69707229635531,1.18737901696911,10042,
"q45",430,417,2114,3572,2811,3.84728167808219,1.04716305355587,9344,
"q46",659,969,1871,3898,2708,3.69539831766452,1.15369024863834,10105,
"q47",653,831,1776,3861,2853,3.74493683577301,1.14964362664481,9974,
"q48",338,742,1148,4249,3697,4.00501277766857,1.03296421721799,10174,
"q49",306,436,887,4113,4408,4.17054187192118,0.967385784806874,10150,
"q5",218,449,1094,4350,4196,4.15038323469487,0.924833969827472,10307,0.196568277141276
"q50",166,412,656,4869,4047,4.20384236453202,0.855234912823519,10150,
"q51",673,885,1768,3301,3529,3.80031508467901,1.19448259707491,10156,
"q52",397,576,1812,3290,4078,3.99241603466956,1.07657997013647,10153,0.0221068054245491
"q53",1060,1704,2450,3227,1379,3.22006109979633,1.20305514451986,9820,
"q54",822,874,2280,3563,1846,3.50474160895045,1.1641691235975,9385,
"q55",497,605,1871,4439,2151,3.74683676670501,1.03797845315339,9563,
"q56",439,602,1347,5298,2268,3.83926059875427,0.988063846914208,9954,
"q57",336,496,1580,4923,2191,3.85418853663657,0.948902826981709,9526,
"q58",766,1197,1889,3992,1905,3.52036106267309,1.16513115318835,9749,
"q59",669,1014,1957,4071,1988,3.58717393545726,1.12934591424257,9699,
"q6",212,535,930,4946,3782,4.11013935607881,0.910962133485331,10405,
"q60",621,693,2044,3364,2804,3.73871509552803,1.1482572380809,9526,0.00226074824550939
"q61",709,995,2268,3411,2501,3.60704168352894,1.17323476064451,9884,
"q62",491,734,2364,3358,2185,3.65834428383706,1.08947203348598,9132,
"q63",591,1853,2415,3665,1466,3.35655655655656,1.11757255684647,9990,0.0851029085371873
"q64",608,1594,2194,4045,1533,3.43122117505514,1.11273305185451,9974,0.00892050351814525
"q65",785,1594,2035,3647,1881,3.42697646348823,1.19063529446906,9942,0.0519169547679861
"q66",713,1574,2824,3503,1332,3.3184194651116,1.1097885038498,9946,0.0128867509148968
"q67",1444,1968,2469,2759,1289,3.04844395205962,1.25495386054188,9929,0.0689245610427983
"q68",575,1361,2177,4198,1642,3.49944740279313,1.09552982017314,9953,0.0714062316136027
"q69",401,904,1520,4582,2539,3.79971847979087,1.04619491591472,9946,
"q7",46,49,202,3057,7109,4.63758004396445,0.592092764022269,10463,
"q70",524,1286,1380,4513,2262,3.67265429001505,1.1170999569118,9965,
"q71",437,1009,1826,4629,2057,3.68889335207873,1.04571568892931,9958,
"q8",41,102,721,4053,5572,4.43130899037086,0.69861187741088,10489,
"q9",941,1970,1491,4316,1752,3.37898758357211,1.21890798533002,10470,
