"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",3023.2282287338,7556.0596186642,8703.8326912042,22792.5343034815,9980.2571865435,3.60241583140581,1.12530916067946,52055.9120286272,
"q10",3823.5659981134,7273.2043749022,8476.2569956595,25924.4583146381,6239.5115720597,3.4032205910884,1.12488001097894,51736.9972553729,
"q11",4674.0011247646,6921.9135234026,8256.7839891168,21858.3736445522,8293.7234405067,3.44890315676833,1.19981945255634,50004.7957223429,0.0398917154596655
"q12",1297.6135896361,2234.5486124474,5579.8159188576,26902.3616726794,15626.2610500575,4.06240703615081,0.890847162571739,51640.600843678,
"q13",562.0699259728,942.8164658206,3431.5085848085,20287.5502861425,26004.9215004537,4.34235471007387,0.794861586302704,51228.8667631981,
"q14",2742.2857094813,4936.5484482932,6585.1552357401,24612.1514552719,12987.0398395497,3.81275003226223,1.07805341872391,51863.1806883362,
"q15",3152.4599739907,4083.1967403807,8854.4268767486,22809.0782509177,12089.8550191057,3.7445284258955,1.08988628275485,50989.0168611434,
"q16",1260.5366119888,2315.221585204,6325.0778407491,27174.8851884995,14441.8380627794,4.05837332987417,0.849262583305856,51517.5592892208,
"q17",4365.0918229881,4343.3722483605,8466.1064085566,19170.7382798507,13460.8427944646,3.70713273500236,1.20019783062207,49806.1515542205,
"q18",4457.879658875,7366.1885893193,11163.0665082734,20666.3601324598,7556.3733888318,3.35913838120104,1.17083218587592,51209.8682777593,
"q19",3801.912917087,6458.7849817996,9127.08946226,20130.3175134694,10289.2477546564,3.56093310095187,1.17326797460981,49807.3526292724,
"q2",1420.2000248238,5758.9278382041,8039.3273414797,27442.4614094258,9080.0261480105,3.72963010863942,0.982962390297779,51740.9427619439,
"q20",1305.4571554712,4226.4020808059,6507.7462681786,25191.7967074257,14822.9323897746,3.95715295175692,0.962365876554247,52054.334601656,
"q21",6412.9619325694,10725.8524686614,12418.9619384039,16564.9859867624,4306.4234218494,3.13003322259136,1.16977134797271,50429.1857482465,
"q22",9693.6579694633,9676.2752922365,13399.0246536058,11643.767807557,3707.4084505294,2.91944018938866,1.24421346523557,48120.134173392,
"q23",10520.2868874562,11146.0575365315,12931.6265231153,10206.4321491565,2558.9869981864,2.74885616242494,1.20474063297887,47363.3900944459,
"q24",8248.7533607955,11411.3835363372,14011.0896102168,12470.6345593059,3099.7573948003,2.92514027644724,1.18159264957026,49241.6184614557,
"q25",8274.9840233431,8601.6455847452,12530.8136428197,14405.2628315428,4209.93848792,3.05179255134006,1.23891538445476,48022.6445703708,
"q26",1879.7288281237,3452.2497902869,6087.6500683807,27582.1408751421,12720.5687205621,3.88596151362521,0.996688350297038,51722.3382824955,
"q27",3615.8111231185,5246.9852176211,14655.2262166166,18401.7970222026,7963.016410577,3.49826086956522,1.0810815691682,49882.8359901358,
"q28",408.4206294942,1017.3578594982,6813.8187493918,22203.0941594948,21509.1457642007,4.27276823067516,0.789592129584554,51951.8371620797,0.000641955692851001
"q29",1408.4863286243,4518.1888888113,8074.2689721083,28544.256201049,8065.51830183,3.735572155748,0.938344176691288,50610.7186924229,
"q3",4268.5546452037,8232.4097283173,9910.0451934188,18366.9891107362,10438.5296635447,3.52690069948356,1.20171328732447,51216.5283412207,
"q30",4158.2268329185,9321.8048328575,12732.6366738183,18922.175472971,5059.6679485048,3.2476545345665,1.13191152653771,50194.5117610701,
