"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",688,1711,1987,5127,2153,3.54397394136808,1.12448269263013,11666,
"q10",922,1770,1920,5716,1255,3.39816973150307,1.11339628449754,11583,
"q11",1077,1621,1878,4815,1787,3.41277509393451,1.19598863241096,11178,0.00133680176746937
"q12",274,495,1288,6091,3434,4.02883785183906,0.889274866522996,11582,
"q13",135,228,846,4736,5521,4.3326356183499,0.793856027377464,11466,
"q14",568,1083,1433,5666,2879,3.79155559377419,1.06749881914254,11629,
"q15",689,863,1983,5216,2684,3.72960209881941,1.08594828978352,11435,
"q16",243,420,1435,6178,3284,4.0242214532872,0.86151673827391,11560,
"q17",938,927,1932,4371,3010,3.67883342279478,1.19417526991377,11178,
"q18",1051,1685,2527,4602,1620,3.35306922072268,1.16323964159284,11485,0.00747561201634595
"q19",855,1405,2116,4526,2260,3.53135638774413,1.16851465919847,11162,
"q2",343,1367,1864,6099,1921,3.68035190615836,0.980944299020053,11594,
"q20",286,872,1437,5720,3352,3.9411159681152,0.962637646599365,11667,
"q21",1369,2415,2782,3777,931,3.04310803618946,1.16770195412576,11274,
"q22",2090,2102,3123,2614,836,2.81458430097538,1.2210950191436,10765,
"q23",2325,2387,3062,2252,549,2.6513475177305,1.18504960506797,10575,
"q24",1781,2395,3257,2842,702,2.84412863259543,1.16521122952007,10977,
"q25",1819,1792,2923,3261,956,2.97609524695377,1.22557462473227,10751,
"q26",451,761,1441,6073,2878,3.87607721475353,0.984399515353102,11604,
"q27",755,1149,3317,4231,1742,3.4516705377881,1.08119215767316,11194,
"q28",88,218,1443,4890,5003,4.2456622573441,0.797696943956183,11642,
"q29",353,1102,1937,6256,1680,3.68926553672316,0.944669249115186,11328,
"q3",898,1792,2172,4255,2336,3.46616607002532,1.20011858158333,11453,
"q30",987,2124,2947,4167,1041,3.19092845730517,1.11449764720363,11266,0.0183202746090522
"q31",1122,1980,2828,4100,1199,3.20251135452845,1.15210689652285,11229,
"q32",1416,2280,3365,3026,961,2.98515568428675,1.15791933321869,11048,
"q33",3058,2795,2756,1533,500,2.40067656455553,1.17684945449404,10642,
"q34",702,739,3090,4189,1730,3.52688995215311,1.06065200251622,10450,
"q35",199,439,1325,6525,2827,4.0023862129916,0.824911305020021,11315,
"q36",345,631,1651,6411,2286,3.85323207347227,0.907351300346593,11324,
"q37",1212,1133,2380,4123,1893,3.40517642677591,1.21722094682758,10741,
"q38",684,565,1826,4590,2743,3.78237893927748,1.09560686628222,10408,
"q39",192,499,1805,6263,2545,3.92622080679406,0.84194998661327,11304,0.0430420404206289
"q4",558,1049,1753,5022,3228,3.8021533161068,1.08809746023105,11610,
"q40",446,1119,2225,4960,2751,3.73480566907225,1.04910551094815,11501,0.219937291012584
"q41",1360,1905,3056,3016,1232,3.08089696281578,1.20007542568252,10569,0.0239000541481145
"q42",387,438,1015,4705,4868,4.15911679663542,0.974123847905217,11413,
"q43",678,997,1887,4358,3486,3.78704190776784,1.14475051006363,11406,
"q44",815,1112,1993,4191,3166,3.68998847211138,1.18590365522238,11277,
"q45",440,382,2135,4035,3274,3.90794856808884,1.02620375405958,10266,
"q46",695,1113,2269,4325,2977,3.68336409174796,1.140975304743,11379,
"q47",738,974,1971,4497,3061,3.72671470509741,1.14478811129229,11241,
"q48",375,722,1198,4671,4491,4.06319280789037,1.01946182362879,11457,
"q49",345,467,944,4517,5164,4.19681734720644,0.964477693913403,11437,
"q5",198,443,1208,5007,4549,4.16317404647085,0.888729318623862,11405,
"q50",252,561,792,5340,4492,4.15930751071085,0.911708348229834,11437,
"q51",712,906,1828,3773,4219,3.86387480328729,1.17785566914184,11438,
"q52",507,662,1954,3547,4771,3.99755266148064,1.103710029035,11441,
"q53",1711,2280,2878,3151,1109,2.97007817413964,1.22507632767344,11129,0.0218794957998698
"q54",1299,1295,2708,3699,1560,3.27705709686583,1.21618391216048,10561,0.0355566054827108
"q55",609,674,2267,5141,1890,3.66430394102637,1.02619783845093,10581,
"q56",829,1177,2175,5311,1718,3.52738626226583,1.09980543204522,11210,
"q57",617,826,2360,5070,1707,3.60718336483932,1.03312442088568,10580,0.00833964028358725
"q58",1042,1499,2371,4507,1602,3.37455766264404,1.16808069919726,11021,
"q59",906,1189,2236,4841,1836,3.50072674418605,1.13733897587244,11008,
"q6",330,770,1310,5691,3465,3.96757738198167,0.966934598507135,11566,
"q60",958,1028,2432,3695,2641,3.56100055793193,1.20965472069096,10754,
"q61",1200,1598,2818,3582,2006,3.32095680114245,1.22639596851757,11204,0.0738004164559157
"q62",665,905,2731,3867,1929,3.54372585916609,1.0976015232862,10097,
"q63",661,2004,2599,4481,1589,3.38230104111523,1.10462515552292,11334,0.0113155567482633
"q64",802,2141,2640,4315,1418,3.30098974902792,1.12461822126353,11316,0.0710952637198257
"q65",1020,2042,2785,3908,1528,3.25542852078348,1.16855687628658,11283,
"q66",1053,2224,3540,3409,1080,3.10958782947108,1.11399050714229,11306,0.144979125480863
"q67",1649,2257,3201,3063,1138,2.98089847895295,1.20668057541971,11308,
"q68",978,1896,2617,4408,1410,3.29852330002653,1.1458922707377,11309,0.0175501105019357
"q69",460,1098,2004,5164,2543,3.73049960067442,1.04311251253798,11269,0.258434271668416
"q7",62,84,264,3776,7400,4.58536164336268,0.629313930970014,11586,
"q70",882,1800,1907,4674,2058,3.46161999823337,1.18222905475972,11321,0.0166290929470824
"q71",720,1581,2498,4861,1654,3.45501149018915,1.09625177430444,11314,
"q8",66,145,909,5021,5497,4.35229420862691,0.726118966501291,11638,
"q9",1490,2696,1978,4341,1116,3.07718784958265,1.22340072635945,11621,0.00356926769074554
