"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",3845,8251,8543,21748,9188,3.46888996606883,1.17159139632425,51575,
"q10",5889,8505,8072,23119,5529,3.27182376648276,1.19931961966127,51114,
"q11",5332,7392,8525,20607,7645,3.36041696127351,1.2183512703892,49501,
"q12",1657,2471,5480,27172,14265,3.97790185130767,0.933879736854796,51045,
"q13",880,1105,3748,21760,23060,4.28607599944613,0.832207553207709,50553,
"q14",3931,5909,7268,22646,11327,3.61723537127308,1.17169523910547,51081,
"q15",3461,4071,5861,22106,15456,3.82474732607202,1.14827787985803,50955,
"q16",968,1376,5813,26553,16200,4.09292869770183,0.838454786933049,50910,
"q17",4142,3810,8937,18669,13329,3.67979217378853,1.19466646935801,48887,
"q18",5828,8534,12011,17846,6389,3.20617293708505,1.20183227020571,50608,
"q19",3294,4098,5970,20429,16671,3.85381078831596,1.15743664291346,50462,
"q2",2233,6563,7089,26472,8756,3.64474791149023,1.0443234426297,51113,
"q20",1742,3987,6018,23556,16249,3.94240766604593,1.02083975099917,51552,
"q21",8590,10937,12396,13166,3670,2.84390574047868,1.21480744941419,48759,
"q22",8498,8358,13298,12667,4310,2.91370859943562,1.23519067692313,47131,
"q23",7718,7762,12871,12176,3353,2.90164083865087,1.20579480326572,43880,
"q24",6951,8810,13958,13300,3801,2.9613413071337,1.17870737268342,46820,
"q25",6574,6635,11477,16681,5538,3.17000319795331,1.22520082363521,46905,
"q26",2126,2815,5228,25340,15683,3.96966322862947,1.00065309487425,51192,
"q27",3431,4958,13466,18131,8261,3.47325222293614,1.10632779894806,48247,
"q28",499,930,5993,20953,23032,4.26615052424767,0.808401981389723,51407,
"q29",2690,6017,9157,25558,6220,3.53585673421699,1.03289576099966,49642,
"q3",4496,8419,9513,18369,10017,3.41311449600504,1.22433023391355,50814,
"q30",6807,11577,11623,15448,4066,2.96746834676198,1.19287558905949,49521,0.0120153636114193
"q31",5658,8708,10953,18530,5400,3.18895815143455,1.18975650355132,49249,
"q32",6763,9893,13788,13594,4329,2.97587197882854,1.18421542749027,48367,
"q33",11452,11806,12640,8842,2591,2.56295028628172,1.19668523819235,47331,
"q34",3445,3177,12769,18613,7893,3.53014358236922,1.08713284223592,45897,
"q35",2133,2941,6998,26845,10878,3.83128828195602,0.975867102392823,49795,
"q36",1755,2756,6827,28181,10510,3.85820224269923,0.928718861501634,50029,
"q37",5365,4841,9931,17899,9109,3.43580443313183,1.23308134719152,47145,
"q38",3164,2385,8867,19533,11287,3.73821734901406,1.10336733352389,45236,
"q39",2439,3566,9738,24371,9064,3.6924844442637,1.01202122626619,49178,0.0745140095655489
"q4",2950,4928,7527,22433,13462,3.75105263157895,1.11758007630838,51300,
"q40",3437,6163,10492,20296,10501,3.55534594902631,1.14329044218275,50889,0.182528419965222
"q41",8860,9084,12145,11735,5488,2.91348917822117,1.28282531374211,47312,0.0115576440421555
"q42",2316,1957,4187,18244,23792,4.17314242712294,1.04495653830223,50496,
"q43",3301,3823,7900,17575,17790,3.84800254023696,1.17466146263151,50389,
"q44",3700,3776,7683,17556,17156,3.81594513845722,1.19783208043514,49871,
"q45",2322,1562,8482,16559,17182,3.9698527338582,1.06981082043349,46107,
"q46",3453,3895,8090,18310,16517,3.80658509897543,1.17489743349555,50265,
"q47",3679,3504,7813,18157,16507,3.81169955698752,1.18460732724927,49660,
"q48",2217,3184,5109,18829,21383,4.06417333701352,1.07827478888137,50722,
"q49",1897,2224,4206,18010,24251,4.19581718984739,1.01859900479971,50588,
"q5",1472,2525,6197,22908,17465,4.03563588901853,0.963538336145613,50567,
"q50",1512,2976,4257,20796,21034,4.12434997528423,0.994517368499829,50575,
"q51",3479,3854,7203,15422,20684,3.9079025314956,1.21033425737319,50642,
"q52",2333,2504,7328,14609,23845,4.08909697939509,1.10480626133388,50619,
"q53",7766,9792,12244,14291,5071,2.98187698315841,1.23853776800645,49164,0.0119110734426465
"q54",6002,5321,12026,16143,6826,3.26922578695108,1.22424460126359,46318,0.0229265931052856
"q55",3148,3039,10342,20393,8548,3.61917747965692,1.07743758149431,45470,
"q56",3344,3914,8454,24877,8948,3.64943375658599,1.07331822109386,49537,
"q57",2715,2853,9615,23114,8517,3.68067244841287,1.02523405778742,46814,
"q58",4899,6054,10373,19092,7385,3.37675459699182,1.18827804899814,47803,
"q59",4637,5312,10384,19453,7700,3.42679947774081,1.17414008003654,47486,
"q6",1621,3143,5070,25568,15656,3.98897332445454,0.96839606524351,51058,
"q60",3674,3734,10166,16741,11867,3.6364600926768,1.17659196291302,46182,
"q61",5425,6251,12676,16253,8745,3.33722391084093,1.22100337868517,49350,0.0656220927618505
"q62",3628,3897,11871,16317,8732,3.50912363595455,1.1436861297603,44445,
"q63",4314,10245,11918,17347,6329,3.22196079995215,1.16179145245028,50153,0.0170010980428025
"q64",4066,9088,11631,19053,6251,3.28619058076624,1.14185568787361,50089,0.0440669569841515
"q65",4790,8329,10810,18230,7741,3.31669338677355,1.198527243175,49900,
"q66",5295,9186,15450,15155,4867,3.10235621484195,1.13602464030245,49953,0.154282372163037
"q67",9582,10956,12797,11918,4676,2.82274830258968,1.25259962395659,49929,0.0235318867070884
"q68",5555,9221,11396,17962,5801,3.18490037048163,1.19158320174551,49935,
"q69",2944,5403,8943,22859,9739,3.62231398332264,1.09369838602605,49888,0.325423894693148
"q7",503,533,1886,18395,29951,4.49719123039713,0.709710113732163,51268,
"q70",5626,8739,8140,19625,7840,3.306463878327,1.24565575961994,49970,0.0708396847003447
"q71",4100,7474,11238,20411,6802,3.36663668165917,1.13787031465996,50025,
"q8",451,822,4989,22294,22869,4.28941176470588,0.775139807956311,51425,
"q9",10085,13381,7605,15867,4493,2.8308802084346,1.29379527114428,51431,
