"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",3362,7319,7324,17570,6579,3.39581059923139,1.17349908026263,42154,0.00112367660987295
"q10",5115,7139,6644,18722,4140,3.23067528735632,1.20523639546668,41760,0.0226282960907443
"q11",4550,6232,7166,16613,5847,3.32109978222134,1.22126668821671,40408,0.0453767244643941
"q12",1439,2067,4637,22334,11242,3.95575157602052,0.941965214917069,41719,
"q13",726,878,2992,17735,18981,4.29180383423703,0.830614517005626,41312,
"q14",3491,5090,6137,18394,8603,3.56401773942227,1.18514108677894,41715,
"q15",2807,3285,4561,18158,12860,3.83940870149504,1.14624545470781,41671,0.00547794084427173
"q16",790,1100,4805,21701,13205,4.09206509458907,0.837340551522576,41601,
"q17",3441,3191,7473,15379,10491,3.6576110068793,1.19423409475547,39975,
"q18",5161,7360,10170,14041,4589,3.13399966118923,1.20159465555702,41321,
"q19",2657,3173,4671,16590,14133,3.88222879875801,1.15336806163389,41224,
"q2",1922,5670,5991,21632,6550,3.60380701544355,1.04906901462498,41765,
"q20",1502,3412,5022,19104,13094,3.92267527412541,1.03380861875022,42134,
"q21",7660,9494,10406,9619,2454,2.74044356975248,1.19819941915075,39633,
"q22",7227,7049,11075,9894,3120,2.86005473739085,1.22510273215495,38365,
"q23",6375,6184,10554,9906,2586,2.89170060384777,1.20288288794874,35605,
"q24",5779,7199,11505,10655,2886,2.93872291184515,1.17360830444759,38024,
"q25",5415,5417,9445,13658,4311,3.15774198609005,1.22110844456496,38246,
"q26",1750,2236,4198,20792,12850,3.97441782623249,0.99867966720188,41826,
"q27",2928,4148,11164,14549,6408,3.44291654973595,1.11066789191922,39197,
"q28",432,798,5041,17378,18346,4.24795809024884,0.814876510489589,41995,0.00795378724811984
"q29",2410,5299,7799,20452,4508,3.47813086883463,1.04477142494933,40468,
"q3",3873,7197,7949,14887,7621,3.3656897921834,1.22688260602139,41527,
"q30",6010,9983,9531,11966,2954,2.89790821877163,1.19116437247582,40444,
"q31",4923,7439,9068,14786,3948,3.13437406632805,1.19113933545412,40164,
"q32",5817,8322,11336,10766,3139,2.92605383443372,1.17855022957839,39380,
"q33",9744,9798,10274,6977,1903,2.5218368823651,1.18695092946803,38696,
"q34",2908,2611,10760,15047,5953,3.49695539043429,1.08513363562163,37279,
"q35",1948,2615,6028,22048,8049,3.77750196618168,0.992199592549712,40688,
"q36",1521,2285,5678,23287,8108,3.83602827857824,0.932108734469408,40879,
"q37",4414,3982,8155,14712,7149,3.42174320524836,1.23001860664573,38412,
"q38",2617,1928,7472,16080,8663,3.7139281828074,1.09892712060885,36760,
"q39",2241,3231,8467,19564,6569,3.62360251547215,1.02927861041555,40072,0.0120387809452298
"q4",2513,4170,6270,18390,10578,3.7239808210682,1.12389876211995,41921,0.119381447900606
"q40",3003,5422,9042,16627,7476,3.48474861679095,1.14183185945304,41570,0.217545396705909
"q41",7702,7747,10038,9108,3930,2.8395068137573,1.27260650791666,38525,
"q42",1966,1601,3466,14837,19367,4.16492470354294,1.05399556993451,41237,0.00985912910682105
"q43",2785,3173,6566,14338,14272,3.82994603004814,1.18135780547681,41134,
"q44",3087,3032,6283,14305,14014,3.8135114560055,1.20158504924635,40721,
"q45",1958,1262,6950,13424,14036,3.96513420143503,1.07654696245032,37630,
"q46",2913,3173,6586,14820,13579,3.8029753353948,1.1830274066972,41071,
"q47",3159,2954,6597,14587,13204,3.78326461075035,1.19820335413316,40501,
"q48",1902,2645,4234,15317,17337,4.05085073005913,1.08927042207849,41435,
"q49",1611,1834,3512,14721,19661,4.18500689421612,1.02691378416037,41339,0.00850049540348035
"q5",1268,2159,5204,18862,13828,4.01214878633141,0.972440932705281,41321,0.189971735869545
"q50",1283,2558,3663,16872,16947,4.10451806500012,1.00742111649961,41323,
"q51",2940,3179,6008,12465,16776,3.89339586153549,1.21919955247513,41368,
"q52",1969,2096,5995,11831,19453,4.0812451625387,1.11371335474791,41344,0.0209306466639489
"q53",6676,8317,10068,11250,3794,2.92941029796783,1.23580268341294,40105,
"q54",5113,4489,10228,12763,4991,3.21365474670072,1.22015064287341,37584,
"q55",2644,2546,8742,16427,6556,3.58797236895571,1.07943008351207,36915,
"q56",2766,3138,6955,20510,7078,3.64271763047939,1.07010729215577,40447,
"q57",2247,2279,7918,19043,6690,3.67187049794379,1.02151675601023,38177,
"q58",4116,4963,8710,15325,5782,3.35206705059646,1.18977943652387,38896,
"q59",3930,4375,8749,15597,5938,3.39487936976859,1.17666696554469,38589,
"q6",1336,2606,4140,21081,12573,3.98114337741997,0.968488289048674,41736,
"q60",3096,3130,8472,13668,9118,3.60244370931597,1.17839690748455,37484,0.0284086618268726
"q61",4625,5295,10752,12934,6627,3.28938930728506,1.21986075348224,40233,
"q62",3080,3221,10065,12951,6589,3.46644014927867,1.14455852394275,35906,
"q63",3751,8826,9984,13699,4699,3.16526282379941,1.16098094319796,40959,0.0784139750004623
"q64",3454,7709,9697,15328,4725,3.24835626817882,1.14064537019848,40913,0.00922048495220486
