"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",32,138,205,1088,784,4.09212283044059,0.89768936941576,2247,
"q10",147,357,325,1061,339,3.488111260655,1.12721653743432,2229,0.0164484263590376
"q11",105,242,317,1114,408,3.67612076852699,1.04994137443769,2186,0.070858484048116
"q12",17,79,173,1242,717,4.15035906642729,0.766563753227608,2228,
"q13",20,50,175,1108,846,4.23237835379718,0.763788823725075,2199,
"q14",66,145,244,1024,752,4.00896458987001,0.986414603751607,2231,
"q15",112,185,300,1033,593,3.81421502474134,1.07426126527711,2223,
"q16",21,53,178,1290,677,4.14871563767463,0.737664972781172,2219,
"q17",91,111,227,907,822,4.04633920296571,1.03426821776054,2158,0.0076372523888619
"q18",76,208,320,1096,530,3.80538116591928,1.01171589692116,2230,
"q19",154,279,357,900,520,3.61221719457014,1.17439680167321,2210,
"q2",19,136,194,1298,585,4.02777777777778,0.81785262272346,2232,
"q20",23,104,204,1214,699,4.09714795008913,0.819082962880137,2244,
"q21",115,295,402,1050,326,3.53793418647166,1.06399087016679,2188,
"q22",173,311,506,803,285,3.34456207892204,1.14000514225074,2078,
"q23",241,409,566,575,153,2.99485596707819,1.1478343545305,1944,
"q24",187,413,591,691,201,3.14690350456073,1.11986849260625,2083,
"q25",170,307,494,838,288,3.3657606103958,1.13423091856762,2097,
"q26",41,100,201,1185,702,4.07985643786451,0.862594296372694,2229,
"q27",70,176,510,945,454,3.71322505800464,0.99225718453593,2155,
"q28",5,14,193,1012,1020,4.349376114082,0.680958493710089,2244,
"q29",24,131,224,1366,447,3.94936131386861,0.800894954066004,2192,
"q3",80,291,438,902,506,3.65990076680198,1.07724351947767,2217,
"q30",85,349,469,984,280,3.4730041532072,1.03229717723383,2167,
"q31",77,259,431,1032,364,3.62274618585298,1.01244816627204,2163,
"q32",117,398,629,720,276,3.29906542056075,1.08079372138346,2140,
"q33",193,368,481,774,240,3.2431906614786,1.15731139661718,2056,
"q34",52,81,341,999,622,3.98233890214797,0.915312416166145,2095,
"q35",16,40,155,1106,852,4.26233287229138,0.732020845533937,2169,
"q36",30,70,231,1204,648,4.08566193311956,0.804712637082241,2183,
"q37",133,155,372,912,491,3.71400872515754,1.10357525580255,2063,
"q38",64,70,227,914,749,4.09387351778656,0.946978970384896,2024,
"q39",15,66,235,1286,594,4.08287795992714,0.743358202649084,2196,
"q4",52,126,265,1108,684,4.00492170022371,0.927290858040906,2235,0.0764974510888406
"q40",24,83,241,982,883,4.18255761409851,0.850020402878257,2213,0.207069566821773
"q41",170,300,540,717,373,3.39190476190476,1.16860274999874,2100,
"q42",44,87,142,814,1115,4.30290644868302,0.90406759112738,2202,
"q43",58,115,253,871,901,4.11101000909918,0.979747944367529,2198,
"q44",101,170,314,835,752,3.90561694290976,1.10182869502952,2172,
"q45",40,63,293,837,787,4.12277227722772,0.907170400386857,2020,
"q46",73,165,331,943,669,3.90325538743696,1.02639184684966,2181,
"q47",54,91,206,964,877,4.14917883211679,0.927351642513055,2192,0.0395083994724705
"q48",46,106,186,884,986,4.20380434782609,0.932300126956589,2208,
"q49",36,77,119,813,1150,4.3503416856492,0.862356495594994,2195,
"q5",18,66,216,1087,828,4.19232505643341,0.79180237774441,2215,0.109625184619297
"q50",25,48,58,960,1105,4.39890710382514,0.748744545897341,2196,
"q51",75,148,243,761,980,4.09787041232442,1.05790209417523,2207,0.0385218854658423
"q52",51,69,307,738,1042,4.20117806977798,0.950897113518595,2207,
"q53",113,314,560,880,281,3.41992551210428,1.05534485631843,2148,
"q54",65,114,387,1004,472,3.83447600391773,0.950528589972349,2042,
"q55",55,89,346,1034,502,3.90769990128332,0.911311598955107,2026,
"q56",51,131,287,1229,478,3.89705882352941,0.890548372057904,2176,
"q57",43,108,319,1188,438,3.89217557251908,0.860601909413723,2096,
"q58",85,240,372,1059,368,3.65207156308851,1.0197948694018,2124,
"q59",78,214,363,1077,393,3.70258823529412,1.00047911420452,2125,0.00065461236543256
"q6",29,92,200,1197,696,4.10162601626016,0.823879415699807,2214,
"q60",75,89,382,892,593,3.90546528803545,0.989563603698585,2031,0.0182555466641622
"q61",76,169,429,1013,475,3.75948196114709,0.994880607105904,2162,0.0332031613022329
"q62",55,143,347,969,544,3.87657920310982,0.967797271825756,2058,
"q63",52,280,472,1024,353,3.61714809720312,0.979917301595096,2181,0.0386865203754726
"q64",51,218,424,1131,350,3.69503219871205,0.935766368606919,2174,0.0446327110071926
"q65",110,307,415,928,413,3.56465715600552,1.10126448115333,2173,0.0418363220238575
"q66",64,244,576,992,298,3.55933762649494,0.960289649456011,2174,0.0381312524305641
"q67",160,325,497,818,369,3.4200092208391,1.15184185885547,2169,0.0868228271084728
"q68",54,164,379,1068,508,3.83387022549471,0.952129326230978,2173,0.0359891114855021
"q69",36,157,253,1132,591,3.9612724757953,0.909347442511607,2169,
"q7",8,18,44,772,1393,4.57673378076063,0.612314012322485,2235,
"q70",91,244,270,1033,537,3.77287356321839,1.07016913524294,2175,
"q71",36,163,294,1171,515,3.90224873795319,0.899999740124447,2179,
"q8",8,41,216,1032,937,4.27529095792301,0.739062980444057,2234,
"q9",146,394,315,980,409,3.49554367201426,1.16475118066003,2244,
