"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",64,117,162,533,227,3.67271078875793,1.09231293370425,1103,0.0333168170781355
"q10",122,210,184,497,84,3.19234275296263,1.16613392042656,1097,0.0153580376847888
"q11",91,164,140,507,166,3.46161048689139,1.17432148746251,1068,0.0450777523780623
"q12",32,67,112,605,283,3.94631483166515,0.929104674629918,1099,
"q13",18,41,118,495,409,4.14338575393155,0.877061174510592,1081,
"q14",67,145,150,526,207,3.60365296803653,1.11823239177648,1095,0.00959958368895216
"q15",64,95,140,530,257,3.75598526703499,1.08968185259502,1086,
"q16",20,35,136,614,278,4.01108033240997,0.823559648956388,1083,
"q17",64,66,158,392,350,3.87184466019417,1.13735217330778,1030,
"q18",78,162,214,466,162,3.4362292051756,1.13072464348611,1082,
"q19",83,138,171,431,248,3.58169934640523,1.19602195272164,1071,
"q2",29,118,135,591,221,3.78336380255941,0.974354231077229,1094,
"q20",33,80,92,503,395,4.03989120580236,1.00011105868992,1103,
"q21",221,256,209,286,74,2.74760994263862,1.25860446179502,1046,
"q22",157,154,252,324,114,3.08391608391608,1.24697676359708,1001,
"q23",155,162,256,258,78,2.93619361936194,1.21856926195055,909,
"q24",131,194,297,301,80,3.0049850448654,1.15598549724294,1003,
"q25",133,128,206,384,118,3.23323013415893,1.22949713805256,969,
"q26",34,44,80,520,423,4.13896457765668,0.936015937907493,1101,
"q27",57,110,315,369,176,3.48393378773126,1.06809339319477,1027,
"q28",4,20,92,393,589,4.40528233151184,0.74974888684461,1098,
"q29",38,108,165,584,170,3.69483568075117,0.974207599846084,1065,
"q3",97,169,220,381,218,3.4184331797235,1.22249492954884,1085,
"q30",120,255,262,322,90,3.00667302192564,1.16277885469675,1049,
"q31",108,157,205,449,132,3.32350142721218,1.17757196312212,1051,
"q32",138,204,311,290,99,3.00767754318618,1.17692290779307,1042,
"q33",300,311,271,106,29,2.26548672566372,1.07966101055261,1017,
"q34",65,72,298,336,161,3.48927038626609,1.08147803537152,932,
"q35",30,69,160,581,209,3.82936129647283,0.918665473376403,1049,
"q36",31,88,166,605,180,3.76168224299065,0.925791432951856,1070,
"q37",101,83,166,382,286,3.65717092337917,1.24380575469695,1018,0.0172059553037825
"q38",45,36,133,418,328,3.9875,1.02616956850023,960,
"q39",38,91,183,552,204,3.74250936329588,0.978776695181936,1068,
"q4",52,97,147,501,303,3.82363636363636,1.07574188994439,1100,
"q40",67,141,182,455,242,3.61085556577737,1.1460525188615,1087,0.198337031331433
"q41",190,213,284,206,82,2.77128205128205,1.22264562228636,975,
"q42",43,38,61,366,570,4.28200371057514,1.00336984296367,1078,
"q43",65,90,151,370,404,3.88703703703704,1.17362840440256,1080,
"q44",90,88,151,356,369,3.78368121442125,1.24519182261504,1054,
"q45",42,30,155,330,360,4.02071973827699,1.05141115662519,917,
"q46",75,83,158,397,356,3.81945743685688,1.17963179256231,1069,
"q47",71,63,141,405,384,3.90977443609023,1.15062188014457,1064,0.0232734315814668
"q48",40,76,87,364,512,4.14179796107507,1.07307445529221,1079,
"q49",46,39,80,324,580,4.26566884939195,1.03973043123559,1069,
"q5",25,56,109,526,365,4.06382978723404,0.92225355268778,1081,0.106592639051208
"q50",29,60,68,423,494,4.20391061452514,0.974198155436996,1074,
"q51",67,82,116,313,497,4.01488372093023,1.19891394850779,1075,
"q52",45,53,124,282,569,4.1901211556384,1.08896058386797,1073,0.00156492266803898
"q53",139,187,267,325,120,3.09633911368015,1.21798087995912,1038,
"q54",82,69,186,421,231,3.6572295247725,1.15359006995196,989,
"q55",53,44,164,440,220,3.79261672095548,1.04121051712945,921,
"q56",75,106,197,491,177,3.56309751434034,1.10385820289956,1046,
"q57",53,63,197,427,180,3.67173913043478,1.04671371183808,920,
"q58",94,112,219,394,169,3.43724696356275,1.17776999444651,988,
"q59",84,101,181,428,199,3.56092648539778,1.16595002609038,993,
"q6",28,65,110,543,340,4.01473296500921,0.941498106417087,1086,
"q60",58,66,145,323,361,3.90556138509969,1.16112653781862,953,
"q61",89,110,219,365,263,3.57648183556405,1.21213223225586,1046,0.000497347097243384
"q62",57,78,211,338,240,3.67748917748918,1.13062930103141,924,
"q63",63,189,221,415,170,3.41587901701323,1.13139310669928,1058,0.125427794488591
"q64",82,188,253,387,146,3.30965909090909,1.14607985349637,1056,
"q65",92,147,216,403,191,3.43279313632031,1.19057683598985,1049,0.0429720186416312
"q66",92,151,309,368,133,3.28395061728395,1.12612375873724,1053,0.0722036809777685
"q67",188,223,300,233,105,2.8512869399428,1.23745643867777,1049,0.0272609715152839
"q68",83,157,267,414,125,3.32600382409178,1.11184690350222,1046,0.0864086817007796
"q69",64,100,168,489,233,3.68975332068311,1.10061251006253,1054,
"q7",6,6,23,374,689,4.5792349726776,0.619941007409762,1098,
"q70",143,236,186,388,103,3.06818181818182,1.23268708493894,1056,
"q71",85,139,206,464,158,3.44771863117871,1.13926734795603,1052,
"q8",6,24,142,492,436,4.20727272727273,0.787031960474187,1100,
"q9",251,350,162,283,53,2.57870791628753,1.22732318097789,1099,
