"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",185.0240115585,355.5458909636,414.5726709304,1403.238204792,776.3373936205,3.73176083379046,1.11664166596388,3134.718171865,
"q10",312.084563783,467.3740799656,470.0424591712,1451.6755198699,418.3256388048,3.38347107438017,1.18449746791867,3119.5022615945,0.0207332606351047
"q11",324.0322019321,420.9369663271,543.2515909168,1191.8929672087,528.3313005051,3.41347801256425,1.22372777526084,3008.4450268898,0.0805217810577459
"q12",72.3726849215,136.4819949168,345.3501351666,1590.2238423786,945.3051569153,4.04277777777778,0.888974561216337,3089.7338142988,
"q13",60.5305730089,62.9830061093,243.8937588192,1317.0270103541,1389.7696589758,4.27765363128492,0.837563524784819,3074.2040072673,
"q14",170.000518435,321.8001836869,375.3411979381,1435.8880594497,825.4877632409,3.78626373626374,1.10718990471614,3128.5177227506,
"q15",220.7915771143,279.2087533123,457.7127286941,1286.9190643494,853.2129430013,3.74528301886792,1.15440034108933,3097.8450664714,
"q16",56.9955399178,90.186450889,351.4716756798,1631.6834246657,984.2181567729,4.09878587196468,0.827240971557818,3114.5552479252,
"q17",260.1556259041,240.2106498925,566.7245284092,1116.7097116017,760.1112954295,3.66024518388792,1.18702651579295,2943.911811237,
"q18",235.5721775454,396.8440156138,653.9239396416,1253.8140076295,542.2959749258,3.48745119910764,1.13879627179294,3082.4501153561,
"q19",176.9386414721,294.5076925952,356.5173231164,1366.4398133732,906.1885508328,3.82206208425721,1.11955391070869,3100.5920213897,
"q2",141.489404408,405.3053856087,432.1707911537,1550.5352248377,582.9664361972,3.66206515737162,1.05672899778406,3112.4672422053,
"q20",78.4981501119,239.8861164148,352.4573973052,1441.2200975827,1025.0616464549,4.00219178082192,0.975014404098705,3137.1234078695,
"q21",333.3319432957,585.806380332,719.3585807607,1064.7002922653,336.3845038635,3.1791972866026,1.17578183773495,3039.5817005172,
"q22",508.8475773253,481.4020951112,768.9552719401,842.0998295662,327.1592803369,3.0217008797654,1.257418611841,2928.4640542797,
"q23",518.8319132935,621.2726752553,740.6398766572,694.969858335,201.3862334384,2.81199752628324,1.21277422335139,2777.1005569794,
"q24",462.6477036549,575.8658330796,875.8997609037,766.673855364,245.597672596,2.92840375586854,1.19089944598107,2926.6848255982,
"q25",457.9654511737,481.9190705226,716.8549055311,873.5593257654,341.716880025,3.06834532374101,1.25180341008507,2872.0156330178,
"q26",162.8484719405,226.1214006269,353.3775194371,1519.5746316634,848.4751148973,3.87624309392265,1.05154035663665,3110.3971385652,
"q27",231.4664378041,340.3108864886,777.1763789523,1121.2958651301,547.7183171563,3.4811858608894,1.13188481083151,3017.9678855314,
"q28",35.2807714228,65.2988328216,346.0858524938,1221.4414756967,1461.8570344486,4.29230769230769,0.814415309714433,3129.9639668835,
"q29",129.6244938471,315.6162976209,558.2893200799,1585.4482582363,454.2337640186,3.64652738565782,0.984835913208143,3043.2121338028,
"q3",220.0407883747,410.3050398245,452.2709549949,1187.2994886802,834.1340282673,3.6672203765227,1.19949191605048,3104.0503001416,
"q30",347.4491797997,567.8869048943,741.0082169382,1053.3933452791,318.0529771308,3.16070414537195,1.17442459964921,3027.7906240421,
"q31",342.1580327403,535.4510899676,670.1955828022,1087.5476476386,382.6426390249,3.23348519362187,1.2012033545266,3017.9949921736,
"q32",389.1219914504,551.1387805629,842.0005155077,855.4336235625,329.7012915861,3.0855986119144,1.19541257731298,2967.3962026696,
"q33",674.448498776,743.5315715455,807.9662762315,459.6598517545,169.2738353396,2.56057866184448,1.1810378183608,2854.8800336471,
"q34",222.2010289279,193.6870630541,725.1461863959,1212.5605977226,519.319103857,3.59305804907241,1.07594255388613,2872.9139799575,
"q35",54.9723156971,101.2977737746,314.1532407656,1667.8443567263,886.4033924481,4.08522727272727,0.820853806488366,3024.6710794117,
"q36",98.1699651535,202.6671375635,479.9764102136,1606.1576109978,654.7645524179,3.84228377614471,0.939636607078611,3041.7356763463,
"q37",366.3886688238,357.4072717564,721.9026769585,962.9551345379,476.5089128135,3.31209053007743,1.23720256228269,2885.1626648901,
"q38",208.7879444587,165.5717240649,652.397379168,1127.1773017748,670.4765636772,3.69057750759878,1.11435664159921,2824.4109131436,
"q39",94.7088266658,98.536285433,471.8749267323,1584.324237475,768.8427373673,3.95558086560364,0.893322907043725,3018.2870136734,
"q4",189.6289688839,306.8518616403,455.3641803795,1263.6293153731,899.8841189837,3.77826806398235,1.14193200258223,3115.3584452605,0.126962665509598
"q40",240.202819506,342.2050471644,546.6628916606,1075.7068540445,893.3267595106,3.69644839067703,1.20726959380529,3098.1043718861,0.212427589492625
"q41",454.6397677579,498.3431326424,704.3988892855,843.1748517857,439.862166242,3.13625730994152,1.28210714843664,2940.4188077135,
"q42",128.3844527922,101.1582150348,244.4384269165,1192.813220263,1406.6938611642,4.19910514541387,0.995546481585091,3073.4881761707,
"q43",199.846939143,233.0478611127,482.1317381577,1057.0304678401,1101.7425329992,3.86905428091774,1.16916301781467,3073.7995392527,
"q44",199.8781092739,251.3922839199,494.0201647715,1048.5493575418,1025.331904721,3.82346241457859,1.17312579470851,3019.1718202281,0.00235898026066544
"q45",123.4740587627,106.0397618094,590.4836178282,1022.88704523,987.0934889093,3.94356796116505,1.03776645297576,2829.9779725396,
"q46",197.2896865142,256.5933194342,520.3355091751,1104.4279410309,972.1846522624,3.80056338028169,1.15520474000506,3050.8311084168,
"q47",187.6512838404,172.4099633882,443.3272530055,1165.3194088846,1069.9817657367,3.91920903954802,1.11909448491643,3038.6896748554,
"q48",100.9729249947,179.0203634163,276.7833965605,1214.6475630548,1314.2530014204,4.13091922005571,1.0105998922919,3085.6772494467,0.000177140331153299
"q49",95.1681577093,125.5809452239,191.870670887,1179.1917109159,1476.6484541223,4.25098039215686,0.958078930904973,3068.4599388584,
"q5",96.5051713754,159.1797517158,423.1815196439,1269.0733969675,1153.1027497348,4.04819944598338,0.989637733053171,3101.0425894374,0.0919549670905225
"q50",91.6550237968,152.3239880589,253.9366774181,1294.2264899172,1279.5927228566,4.15388919977616,0.960787887671392,3071.7349020476,
"q51",208.1151282093,241.5069972712,452.9393454342,966.9705327251,1209.5134973395,3.9034059184813,1.19362581372172,3079.0455009793,0.00807774677960443
"q52",131.0330556724,138.3641629929,506.2603461547,919.551242938,1379.2644001312,4.07825600894354,1.0757246552791,3074.4732078892,0.0134471474115868
"q53",456.723347615,561.6411582946,737.6537572483,882.7157678622,380.2410712373,3.07118451025057,1.25316736858484,3018.9751022574,
"q54",435.1055095758,369.4921944132,673.3115765369,953.2874404206,467.8457724282,3.24925639500297,1.28094123933428,2899.0424933747,
