"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",24924.8420703036,50747.2175522682,53798.7495633744,125481.135302374,53848.6383141359,3.4470983392424,1.17829448327321,308800.582802457,
"q10",38045.0748945233,52303.5213075568,49638.9404344865,130694.538127683,34368.715668091,3.20324742754649,1.22555684476719,305050.790432341,0.0216455139371077
"q11",32105.6635797056,44563.0154620524,47159.9360328078,120278.756941111,49794.8485370128,3.3706380612879,1.23795292114153,293902.22055269,0.0503606238528008
"q12",7434.995551291,12026.7005598048,30698.0485071662,161210.332250219,93234.229107886,4.06679257160844,0.884288206413059,304604.305976367,
"q13",2231.0865766563,2915.4442538251,11961.2584861103,110859.750593903,173161.5751287,4.47667239513717,0.71279773470399,301129.115039195,
"q14",30172.5940261221,44018.1923315901,44328.3976992706,122524.557754168,64798.7858774812,3.52312329283225,1.23821565665942,305842.527688632,
"q15",28157.6788649365,30819.8371698935,42729.0451212065,119478.900584547,79086.2538323196,3.64758411736565,1.22852548899462,300271.715572903,
"q16",7275.0737000903,10621.5074019161,36184.5828816933,157637.218826749,92728.4501100637,4.0728441349759,0.867807835421586,304446.832920512,
"q17",38924.7372378594,31232.5426272489,57977.6106867285,105885.427277726,63504.1696233952,3.43947521489045,1.29422118246398,297524.487452958,
"q18",26954.8859698956,43349.6007421468,67208.70130492,120387.572197581,45043.6152915623,3.33631932134718,1.17645766955055,302944.375506106,
"q19",24574.4002910121,30189.7556842208,35951.1769462011,120492.027570552,88836.4270294638,3.7436380471918,1.2118192799276,300043.78752145,
"q2",12586.3121249926,37574.7507078476,46872.5544374122,153868.649414153,54399.739747158,3.63578304914113,1.04395245425976,305302.006431564,
"q20",15264.5458243435,36431.8537432608,48536.4807519775,136704.28835549,71179.5161129059,3.72684507305524,1.08930442765112,308116.684787977,
"q21",35623.4566618021,59212.2302977196,72573.0858289231,105786.438708474,27992.1523690166,3.09521981186408,1.17232763725676,301187.363865936,
"q22",58826.7889560584,56000.5858097644,84120.2914686233,66120.6135421034,20777.0100067336,2.80968834915629,1.22254280496949,285845.289783283,
"q23",67468.5395939794,65097.6230222597,75700.3724773778,63020.1029065027,15853.9975122359,2.66073889804014,1.21339950694095,287140.635512355,
"q24",54151.9004350276,67602.8385685964,80702.2302045003,73190.5612415108,18483.2163880395,2.79863179601322,1.18784326156482,294130.746837675,
"q25",53082.1839800842,52337.0698689435,76826.7878526966,79757.1629610352,24677.3700271983,2.93288927567278,1.23771206117066,286680.574689958,
"q26",19064.4963968046,26341.8250147887,46372.8243814145,151257.386323368,62704.8648507709,3.7270273663068,1.07336391655327,305741.396967147,
"q27",23940.5721396216,32187.7978259508,83583.8286593598,110431.125862679,47373.0606361485,3.44066649477891,1.11561010644009,297516.38512376,
"q28",3544.3631482752,8439.9720779807,47719.7379440354,123881.160949784,123852.115864864,4.19094285446771,0.852070468275846,307437.34998494,0.0131928420433562
"q29",11724.6511780234,27318.284740889,57600.8823871333,156969.79573236,40555.6873954258,3.63072373338533,0.970425759538564,294169.301433832,
"q3",31514.3959150014,52580.127967667,57252.5892823725,107687.650910868,54294.1419086976,3.34454473475851,1.2426855461145,303328.905984606,
"q30",38385.4862745211,65033.484457397,73990.8897401374,91800.7789590439,24058.206293503,2.98771786935983,1.18005582636214,293268.845724602,
