"q","1","2","3","4","5","mean","sd","n","coeff"
"q1",1017.5050358694,2041.1503325275,1995.2419445649,4836.0224651772,2088.1161333002,3.45610404966007,1.19767558381763,11978.0359114392,
"q10",1600.3881399377,2324.9306452103,2066.0566280006,4755.0377135924,1140.0680607157,3.15549597855228,1.22751907068292,11886.4811874567,0.0177307023017501
"q11",1471.0487766921,1823.0845332769,1845.093255344,4641.4466017269,1776.8044342659,3.30875576036866,1.26664704353331,11557.4776013058,0.0503119772459979
"q12",356.041926873,476.2891324821,1267.3694994621,6223.9084787695,3565.6293484346,4.0309800417039,0.926818361507417,11889.2383860213,
"q13",198.9098487606,211.8572005509,813.8194441606,4837.2957002957,5669.5523661674,4.3079939668175,0.838594205419827,11731.4345599352,
"q14",719.2954289739,1212.838681433,1544.6764935546,5063.453794599,3353.6349350425,3.79140555058192,1.14828782078372,11893.899333603,
"q15",958.436587369,1135.2169219786,1423.6785165199,4954.8484967974,3311.2193239249,3.75874547647768,1.1872876653771,11783.3998465898,
"q16",276.9076473667,402.6588204932,1315.0420884181,5936.6823482309,3886.8011404311,4.0881913303438,0.883965273373382,11818.09204494,
"q17",1499.4181863369,1126.7264884864,1958.1511138228,3899.8733309307,2871.2138691028,3.53528131799813,1.31015047586345,11355.3829886796,
"q18",1402.962308753,1868.1247253495,2674.2759631863,4280.9786191286,1598.9730940368,3.22732732732733,1.23663333473181,11825.3147104542,
"q19",873.3614569779,1241.065164965,1448.389911988,4548.9551341436,3691.6639307024,3.73688969258589,1.22373579831524,11803.4355987769,
"q2",607.3031005475,1829.7432344486,1931.3819227829,5712.9673069262,1815.1442666302,3.55171385991058,1.08601145671221,11896.5398313354,0.0197418937526694
"q20",550.4451588005,1226.3467271212,1635.5099299059,5224.7763205643,3365.4897936905,3.81523022432113,1.08432943967877,12002.5679300824,
"q21",1433.1353789509,2360.1021094583,2722.8908037171,3888.6334538115,977.2216941803,3.06506321307431,1.18796032826451,11381.9834401181,
"q22",2175.6137190022,2203.0667913294,3054.3808890616,2791.3559350283,846.645465189,2.89556555269923,1.23240543051834,11071.0627996105,
"q23",2358.2442277732,2211.0365679796,3009.9188497842,2507.4477839718,606.9592902528,2.70529801324503,1.21185969448131,10693.6067197616,
"q24",1944.1269701147,2578.5566678199,3050.2362206867,2855.081503123,741.133045861,2.84534772943792,1.20166185543795,11169.1344076053,
"q25",2066.5058704617,1798.3534029109,2846.2246184216,3260.2772272235,971.9430730901,2.98573743922204,1.25448255248511,10943.3041921078,
"q26",714.7526909811,1214.3683637315,1643.5049901546,5446.0800042438,2879.7353141232,3.73206311402203,1.11341069859519,11898.4413632342,
"q27",882.6015332939,1306.256084637,3128.1136327509,4297.1261523611,1844.5348877762,3.45252774352651,1.12900389330128,11458.6322908191,0.0068112034002992
"q28",200.7365600334,298.5263426577,1636.5212771978,4732.0790077809,5090.5910422328,4.21650399290151,0.865430610264207,11958.4542299026,
"q29",534.163828574,1399.3142941876,2263.0362358586,5688.0043569322,1582.0981991913,3.56163113994439,1.02517064025972,11466.6169147437,
"q3",1144.460659585,2009.4225982934,2420.0380431323,4013.3862908097,2135.0553368057,3.4018691588785,1.23715455404553,11722.3629286261,
"q30",1463.3577213316,2780.846875832,2645.6875609403,3622.8445732453,946.5001129807,3.00309501702259,1.18921482667013,11459.2368443299,
"q31",1413.8043671028,2515.0517903984,2678.5861341392,3739.743991703,1066.9286664055,3.09025832555244,1.18860104433199,11414.1149497489,
"q32",1797.523170896,2508.3693508533,3248.2268429216,2804.2448946916,835.2286407458,2.90069576217584,1.18794142554911,11193.5929001083,
"q33",2880.608324418,3151.7784029179,2916.2123982869,1416.5078042589,372.844574907,2.41851974775971,1.12664909353879,10737.9515047887,
"q34",922.9669603189,987.6879168203,3085.4085201711,4098.8061392135,1544.7352565368,3.47326732673267,1.09823452269645,10639.6047930606,
"q35",382.9398039209,554.7501085293,1749.508892723,6189.0630543003,2429.8783972292,3.90090653329165,0.905750403436307,11306.1402567027,
"q36",536.2577187163,918.2300864587,1967.6684379571,5915.1350190604,2030.6143187305,3.70756773590782,1.00099733817502,11367.905580923,
"q37",1629.4367163069,1453.8596537172,2423.5252916852,3749.5569866566,1614.6008306773,3.25812743823147,1.27298979923543,10870.9794790432,
"q38",1067.2507997092,818.1900946828,2094.6637046108,4334.0475916301,2192.265186311,3.58720159151194,1.19104814431119,10506.4173769439,
"q39",607.6272228069,1171.2925165207,2395.2728471824,5508.2613180055,1805.7856147695,3.579950799508,1.04530012470136,11488.239519285,0.0236466773648011
"q4",868.2731379907,1324.6690086011,1914.0424168369,4764.9009352454,3085.5406919514,3.67170818505338,1.18449151978527,11957.4261906255,0.141158567390999
"q40",993.8692150325,1655.7026058712,2819.9187351712,4241.862283798,1967.4620107935,3.39522225582099,1.17372480540669,11678.8148506664,0.244342792128677
"q41",1757.9479781042,2041.5868372634,3050.1986888867,2539.4605824224,1104.6287967082,2.91716968477532,1.23606501851771,10493.8228833849,
"q42",655.904656177,653.4746741307,1198.4970890154,4518.516746877,4596.3928063195,4.03713850837138,1.08408219093611,11622.7859725196,
"q43",864.3907323381,1270.3668550836,2055.6871724699,4154.8234283915,3270.0785247527,3.69282238442822,1.21642628793781,11615.3467130358,
"q44",1133.1758720445,1169.9536514759,2007.766638211,3934.5441950056,3180.7757579037,3.61069882498454,1.26711845560336,11426.2161146407,0.00884944528881944
"q45",720.2412651241,473.040316035,2326.3225826563,3786.5103641836,3305.6010636409,3.83028894055131,1.12746999409384,10611.7155916399,
"q46",1072.9852169287,1325.3922151627,2226.9071037128,3951.8830582275,2995.3992456044,3.57548899755501,1.24784794478574,11572.5668396361,
"q47",997.1236362563,1054.1340849201,1949.7676031527,4355.3707969099,3141.1480515746,3.6819299323909,1.2154600838781,11497.5441728136,
"q48",557.4893338251,908.3776892721,1415.4067272258,4429.0091971781,4319.6113403743,3.95261239368165,1.1238428037984,11629.8942878754,
"q49",541.5010544816,541.1186338536,1128.4008322042,4381.2170602794,4990.5774024462,4.09747182455072,1.07017756335413,11582.814983265,
"q5",376.7354952735,660.8071371954,1366.8929422573,5067.8481809191,4306.9082244657,4.03842689882918,0.994441210130275,11779.191980111,0.0851756871420416
"q50",458.6414086772,939.1676328966,1016.3175255604,5126.5781196285,4088.0571487053,3.95867517471893,1.08602336758598,11628.761835468,
"q51",970.1106767675,1130.0295836889,1914.6167462007,3341.4038294464,4279.6820405001,3.75265876633242,1.27694832791167,11635.8428766036,
"q52",724.4918407487,887.6087444982,2007.9505134865,3174.8367602423,4840.3254016525,3.90003038590094,1.19905104283835,11635.2132606282,
"q53",2557.531390833,2690.1583458591,2673.6496903711,2616.8808003143,831.7760079312,2.74057925879788,1.26329718948682,11369.9962353087,
"q54",1973.1683408682,1487.108030643,3022.4911475706,3117.1725717753,1169.8279338388,3.07333114107202,1.26629473417383,10769.7680246959,
"q55",995.6206176115,763.752745677,2670.1802062604,4479.3171133455,1668.4098967867,3.50667111407605,1.12652470774353,10577.2805796811,
"q56",1311.4097776532,1519.5925452015,2429.716446593,4605.9002824255,1529.7103405791,3.31717924821373,1.20067828194015,11396.3293924523,0.00605109926186147
"q57",1080.2994781766,1154.3505647475,2690.7716310312,4388.0047991041,1396.4138948355,3.34963648380701,1.15165487830399,10709.8403678949,
"q58",1652.7575832306,1898.4675187034,2636.0700474534,3864.2675434295,1163.0190832828,3.11069063386944,1.23591721103292,11214.5817760997,
"q59",1437.7981040614,1640.5511930591,2542.2199059809,4218.8673259457,1301.8872575833,3.224438113327,1.21629653333975,11141.3237866304,0.0314087795526719
"q6",466.7261166997,1006.6835542713,1568.6361671438,5542.3494205502,3252.6065680401,3.84057536709619,1.05700615843682,11837.0018267051,
"q60",1311.3485898297,1165.7782867302,2614.5525555064,3325.1712300593,2262.7803424015,3.4088361358391,1.27346617238268,10679.6310045271,
"q61",1735.6734856017,1869.2942731093,2955.3053498382,3150.7529704246,1643.3124769324,3.13902743142145,1.26722540713445,11354.3385559062,
"q62",1305.207396953,1334.7158137196,3176.2389484642,3025.2899490675,1413.3189094787,3.26066024759285,1.1905515443759,10254.771017683,
"q63",1087.4021778949,2413.6321811455,2673.5179718419,3924.6037483659,1438.0332222405,3.21877876649279,1.17929377419692,11537.1893014887,0.110082625090632
"q64",1412.7220818342,2687.8470585424,2521.4201385583,3833.3189565865,1060.9114406005,3.05285802089736,1.21205498587371,11516.2196761219,
"q65",1361.7378779978,2359.4779475707,2750.8001493559,3532.2291465419,1399.6451818253,3.16029822926375,1.21944139899171,11403.8903032916,0.0397112738812419
"q66",1702.3761422211,2748.4312322347,3272.3346377931,2989.7745134775,746.9799380788,2.90391130274099,1.15869829529165,11459.8964638052,
"q67",2205.6420901935,2648.8745457158,2934.1405583603,2831.7568761763,839.0008725868,2.81880024737168,1.22301581796256,11459.4149430327,0.0716619008808583
"q68",1323.3088073848,2102.9851318676,2764.9932925237,3977.8007633651,1293.6412042543,3.18742293464858,1.19228257102958,11462.7291993955,0.046503847905893
"q69",856.7484171118,1714.0584433168,2260.6230706677,4734.4396373296,1928.9848509766,3.46381275023098,1.15836293195057,11494.8544194025,
"q7",120.279534961,168.4560459248,314.5496278377,3641.1228573288,7670.4829618485,4.57567647933393,0.685858328404442,11914.8910279008,
"q70",899.4901599757,1602.8789365566,2157.2129376413,5003.9018648218,1818.1320830215,3.49336624498612,1.13149461058645,11481.6159820169,
"q71",1197.4355705737,2111.2315880432,2659.7349090503,4343.9236726922,1186.9971882637,3.20209488601356,1.1696503309515,11499.3229286231,
"q8",96.9980934158,119.0532734366,848.7395314362,5069.8115565648,5778.8668054551,4.37566765578635,0.738703337135542,11913.4692603085,
"q9",2056.9790151879,2767.4123755673,2123.3184687296,3984.1755751104,995.3948814289,2.93436293436293,1.27087374892564,11927.2803160241,
