_NAME_,_LABEL_, sample_promo_coeffs , test_promo_coeffs , total_promo_coeffs 
GRADE_BY_STEP4ALL_OTHER_610, ALL OTHER 610,-1.7863 ,-1.7153 ,-1.9071 
GRADE_BY_STEP4ALL_OTHER_610TIJ_c, ALL OTHER 610 * Time in Job = Aptyrs, 0.0539 ,-0.0147 , 0.0281 
GRADE_BY_STEP4ALL_OTHER_620, ALL OTHER 620, 3.8400 , 4.0636 , 3.7973 
GRADE_BY_STEP4ALL_OTHER_620TIJ_c, ALL OTHER 620 * Time in Job = Aptyrs,-0.4947 ,-0.5349 ,-0.5232 
GRADE_BY_STEP4ALL_OTHER_621, ALL OTHER 621, 2.4000 , 2.6811 , 2.3871 
GRADE_BY_STEP4ALL_OTHER_621TIJ_c, ALL OTHER 621 * Time in Job = Aptyrs,-0.1329 ,-0.1637 ,-0.1508 
GRADE_BY_STEP4occ_610_grade_1_10, occ_610_grade_1_step_10, 2.0335 , 2.2687 , 1.9979 
GRADE_BY_STEP4occ_610_grade_1_11, occ_610_grade_1_step_11, 2.0124 , 2.2443 , 1.9472 
GRADE_BY_STEP4occ_610_grade_1_12, occ_610_grade_1_step_12, 1.8893 , 2.1159 , 1.8533 
GRADE_BY_STEP4occ_610_grade_1_13, occ_610_grade_1_step_13, 1.8102 , 2.0306 , 1.7460 
GRADE_BY_STEP4occ_610_grade_1_14, occ_610_grade_1_step_14, 1.8538 , 2.1261 , 1.8436 
GRADE_BY_STEP4occ_610_grade_1_15, occ_610_grade_1_step_X, 1.9797 , 2.2129 , 1.9419 
GRADE_BY_STEP4occ_610_grade_1_16, occ_610_grade_1_step_01 * Time in Job = Aptyrs, 0.0327 , 0.0439 , 0.0379 
GRADE_BY_STEP4occ_610_grade_1_17, occ_610_grade_1_step_02 * Time in Job = Aptyrs, 0.0312 , 0.0095 , 0.0164 
GRADE_BY_STEP4occ_610_grade_1_18, occ_610_grade_1_step_03 * Time in Job = Aptyrs, 0.0785 , 0.0721 , 0.0693 
GRADE_BY_STEP4occ_610_grade_1_19, occ_610_grade_1_step_04 * Time in Job = Aptyrs, 0.0910 , 0.0801 , 0.0791 
GRADE_BY_STEP4occ_610_grade_1_20, occ_610_grade_1_step_05 * Time in Job = Aptyrs, 0.0322 , 0.0429 , 0.0341 
GRADE_BY_STEP4occ_610_grade_1_21, occ_610_grade_1_step_06 * Time in Job = Aptyrs, 0.0234 , 0.0178 , 0.0163 
GRADE_BY_STEP4occ_610_grade_1_22, occ_610_grade_1_step_07 * Time in Job = Aptyrs, 0.0565 , 0.0406 , 0.0453 
GRADE_BY_STEP4occ_610_grade_1_23, occ_610_grade_1_step_08 * Time in Job = Aptyrs, 0.0757 , 0.0677 , 0.0666 
GRADE_BY_STEP4occ_610_grade_1_24, occ_610_grade_1_step_09 * Time in Job = Aptyrs, 0.0484 , 0.0518 , 0.0453 
