_NAME_,_LABEL_, sample_promo_coeffs , test_promo_coeffs , total_promo_coeffs 
Grade_by_step3occ_610_grade_1_10,  occ_610_grade_1_step_10, 1.3232 , 1.3217 , 1.3229 
Grade_by_step3occ_610_grade_1_11,  occ_610_grade_1_step_11, 1.0952 , 1.1652 , 1.0817 
Grade_by_step3occ_610_grade_1_12,  occ_610_grade_1_step_12, 0.6096 , 0.6135 , 0.5905 
Grade_by_step3occ_610_grade_1_13,  occ_610_grade_1_step_13, 0.5237 , 0.5719 , 0.4967 
Grade_by_step3occ_610_grade_1_14,  occ_610_grade_1_step_14, 0.6700 , 0.7132 , 0.7008 
Grade_by_step3occ_610_grade_1_15,  occ_610_grade_1_step_X, 0.6510 , 0.6920 , 0.6354 
Grade_by_step3occ_610_grade_1_s2,  occ_610_grade_1_step_02,-0.5879 ,-0.6587 ,-0.6303 
Grade_by_step3occ_610_grade_1_s3,  occ_610_grade_1_step_03,-0.5148 ,-0.5321 ,-0.5481 
Grade_by_step3occ_610_grade_1_s4,  occ_610_grade_1_step_04,-0.3284 ,-0.3280 ,-0.3487 
Grade_by_step3occ_610_grade_1_s5,  occ_610_grade_1_step_05, 0.3309 , 0.3832 , 0.3302 
Grade_by_step3occ_610_grade_1_s6,  occ_610_grade_1_step_06, 1.6257 , 1.5851 , 1.6127 
Grade_by_step3occ_610_grade_1_s7,  occ_610_grade_1_step_07, 2.3024 , 2.3711 , 2.3339 
Grade_by_step3occ_610_grade_1_s8,  occ_610_grade_1_step_08, 2.3575 , 2.3562 , 2.3171 
Grade_by_step3occ_610_grade_1_s9,  occ_610_grade_1_step_09, 1.7656 , 1.7591 , 1.7529 
Grade_by_step3occ_610_grade_1_st,  occ_610_grade_1_step_01,-1.0254 ,-0.9905 ,-1.0311 
Grade_by_step3occ_610_grade_2_10,  occ_610_grade_2_step_10,-1.3833 ,-1.3603 ,-1.3997 
Grade_by_step3occ_610_grade_2_11,  occ_610_grade_2_step_11,-1.3760 ,-1.3876 ,-1.3948 
Grade_by_step3occ_610_grade_2_12,  occ_610_grade_2_step_12,-1.4120 ,-1.4013 ,-1.4160 
Grade_by_step3occ_610_grade_2_13,  occ_610_grade_2_step_13,-1.0827 ,-1.1030 ,-1.1167 
Grade_by_step3occ_610_grade_2_14,  occ_610_grade_2_step_14,-0.1592 ,-0.1076 ,-0.1380 
Grade_by_step3occ_610_grade_2_15,  occ_610_grade_2_step_X,-1.3449 ,-1.4033 ,-1.4066 
Grade_by_step3occ_610_grade_2_s2,  occ_610_grade_2_step_02,-1.4454 ,-1.4173 ,-1.4480 
Grade_by_step3occ_610_grade_2_s3,  occ_610_grade_2_step_03,-1.4399 ,-1.4152 ,-1.4522 
Grade_by_step3occ_610_grade_2_s4,  occ_610_grade_2_step_04,-1.4364 ,-1.4385 ,-1.4551 
Grade_by_step3occ_610_grade_2_s5,  occ_610_grade_2_step_05,-1.3457 ,-1.3149 ,-1.3437 
Grade_by_step3occ_610_grade_2_s6,  occ_610_grade_2_step_06,-1.3698 ,-1.3518 ,-1.3781 
Grade_by_step3occ_610_grade_2_s7,  occ_610_grade_2_step_07,-1.3716 ,-1.3464 ,-1.3739 
Grade_by_step3occ_610_grade_2_s8,  occ_610_grade_2_step_08,-1.4319 ,-1.4623 ,-1.4647 
Grade_by_step3occ_610_grade_2_s9,  occ_610_grade_2_step_09,-1.4117 ,-1.3699 ,-1.3999 
Grade_by_step3occ_610_grade_2_st,  occ_610_grade_2_step_01,-1.3929 ,-1.3873 ,-1.3880 
Grade_by_step3occ_610_grade_3_10,  occ_610_grade_3_step_10,-1.8829 ,-1.8734 ,-1.8925 
Grade_by_step3occ_610_grade_3_11,  occ_610_grade_3_step_11,-1.8754 ,-1.8699 ,-1.8795 
Grade_by_step3occ_610_grade_3_12,  occ_610_grade_3_step_12,-1.8920 ,-1.8738 ,-1.8962 
Grade_by_step3occ_610_grade_3_13,  occ_610_grade_3_step_13,-1.6024 ,-1.4795 ,-1.5658 
Grade_by_step3occ_610_grade_3_14,  occ_610_grade_3_step_14,-1.6476 ,-1.6083 ,-1.6385 
Grade_by_step3occ_610_grade_3_15,  occ_610_grade_3_step_X,-1.7911 ,-1.7559 ,-1.7794 
Grade_by_step3occ_610_grade_3_s2,  occ_610_grade_3_step_02,-1.8606 ,-1.9318 ,-1.8944 
Grade_by_step3occ_610_grade_3_s3,  occ_610_grade_3_step_03,-1.8449 ,-1.7932 ,-1.8181 
Grade_by_step3occ_610_grade_3_s4,  occ_610_grade_3_step_04,-1.9134 ,-1.9170 ,-1.9404 
Grade_by_step3occ_610_grade_3_s5,  occ_610_grade_3_step_05,-1.9336 ,-1.9057 ,-1.9298 
Grade_by_step3occ_610_grade_3_s6,  occ_610_grade_3_step_06,-1.9422 ,-1.9228 ,-1.9435 
Grade_by_step3occ_610_grade_3_s7,  occ_610_grade_3_step_07,-1.9261 ,-1.9024 ,-1.9198 
Grade_by_step3occ_610_grade_3_s8,  occ_610_grade_3_step_08,-1.9175 ,-1.9067 ,-1.9342 
Grade_by_step3occ_610_grade_3_s9,  occ_610_grade_3_step_09,-1.8973 ,-1.9140 ,-1.9111 
Grade_by_step3occ_610_grade_3_st,  occ_610_grade_3_step_01,-1.7110 ,-1.6672 ,-1.6757 
Grade_by_step3occ_610_grade_4_10,  occ_610_grade_4_step_10,-1.4615 ,-1.6139 ,-1.5293 
Grade_by_step3occ_610_grade_4_11,  occ_610_grade_4_step_11,-1.4239 ,-1.4708 ,-1.4202 
Grade_by_step3occ_610_grade_4_12,  occ_610_grade_4_step_12,-1.4310 ,-1.4318 ,-1.4530 
