_NAME_,_LABEL_, sample_ret_coeffs , test_ret_coeffs , total_ret_coeffs 
Grade_by_step2grade_1_step_01,  grade_1_step_01, 6.5685 , 3.6998 , 5.1022 
Grade_by_step2grade_1_step_02,  grade_1_step_02,-0.6905 ,-3.6806 , 4.0259 
Grade_by_step2grade_1_step_03,  grade_1_step_03, 7.6749 , 5.1511 , 6.8097 
Grade_by_step2grade_1_step_04,  grade_1_step_04, 7.5227 , 4.7670 , 6.6623 
Grade_by_step2grade_1_step_05,  grade_1_step_05, 8.3059 , 5.3346 , 7.0527 
Grade_by_step2grade_1_step_06,  grade_1_step_06, 8.6541 , 5.8811 , 7.5549 
Grade_by_step2grade_1_step_07,  grade_1_step_07, 8.6269 , 5.4425 , 7.3302 
Grade_by_step2grade_1_step_08,  grade_1_step_08, 8.5112 , 5.7355 , 7.4984 
Grade_by_step2grade_1_step_09,  grade_1_step_09, 8.5037 , 5.6883 , 7.4974 
Grade_by_step2grade_1_step_10,  grade_1_step_10, 8.7043 , 5.9556 , 7.7415 
Grade_by_step2grade_1_step_11,  grade_1_step_11, 8.5926 , 5.9447 , 7.6725 
Grade_by_step2grade_1_step_12,  grade_1_step_12, 8.7658 , 5.9585 , 7.7358 
Grade_by_step2grade_1_step_13,  grade_1_step_13, 8.8018 , 6.2194 , 7.8511 
Grade_by_step2grade_1_step_14,  grade_1_step_14, 9.0554 , 6.2839 , 7.9804 
Grade_by_step2grade_1_step_X,  grade_1_step_X, 8.9637 , 6.2216 , 7.9141 
Grade_by_step2grade_2_step_01,  grade_2_step_01, 8.6123 , 5.4563 , 7.2524 
Grade_by_step2grade_2_step_02,  grade_2_step_02, 8.5967 , 5.6703 , 7.5289 
Grade_by_step2grade_2_step_03,  grade_2_step_03, 8.7777 , 5.9588 , 7.7012 
Grade_by_step2grade_2_step_04,  grade_2_step_04, 8.7633 , 5.9220 , 7.6488 
Grade_by_step2grade_2_step_05,  grade_2_step_05, 8.8097 , 5.9787 , 7.7702 
Grade_by_step2grade_2_step_06,  grade_2_step_06, 8.7386 , 5.9333 , 7.6795 
Grade_by_step2grade_2_step_07,  grade_2_step_07, 8.9142 , 6.0402 , 7.8261 
Grade_by_step2grade_2_step_08,  grade_2_step_08, 8.8420 , 6.0719 , 7.7926 
Grade_by_step2grade_2_step_09,  grade_2_step_09, 8.8870 , 6.0962 , 7.8198 
Grade_by_step2grade_2_step_10,  grade_2_step_10, 9.0147 , 6.2044 , 7.9494 
Grade_by_step2grade_2_step_11,  grade_2_step_11, 8.9322 , 6.1618 , 7.8704 
Grade_by_step2grade_2_step_12,  grade_2_step_12, 8.9049 , 6.1211 , 7.8496 
Grade_by_step2grade_2_step_13,  grade_2_step_13, 8.8893 , 6.0445 , 7.8038 
Grade_by_step2grade_2_step_14,  grade_2_step_14, 8.9844 , 6.1862 , 7.9388 
Grade_by_step2grade_2_step_X,  grade_2_step_X, 9.0511 , 6.3189 , 8.0450 
Grade_by_step2grade_3_step_01,  grade_3_step_01, 7.6883 , 5.0634 , 6.6371 
Grade_by_step2grade_3_step_02,  grade_3_step_02, 8.5745 , 5.9105 , 7.6728 
Grade_by_step2grade_3_step_03,  grade_3_step_03, 8.6699 , 5.6435 , 7.4077 
Grade_by_step2grade_3_step_04,  grade_3_step_04, 8.7978 , 6.0371 , 7.7170 
Grade_by_step2grade_3_step_05,  grade_3_step_05, 8.3683 , 5.7079 , 7.3928 
Grade_by_step2grade_3_step_06,  grade_3_step_06, 8.6576 , 5.9798 , 7.6366 
Grade_by_step2grade_3_step_07,  grade_3_step_07, 8.7311 , 5.8648 , 7.5972 
Grade_by_step2grade_3_step_08,  grade_3_step_08, 8.8013 , 6.0116 , 7.7335 
Grade_by_step2grade_3_step_09,  grade_3_step_09, 8.6432 , 5.7704 , 7.5863 
Grade_by_step2grade_3_step_10,  grade_3_step_10, 8.9043 , 6.0390 , 7.8049 
Grade_by_step2grade_3_step_11,  grade_3_step_11, 8.7730 , 5.9869 , 7.6948 
Grade_by_step2grade_3_step_12,  grade_3_step_12, 8.8115 , 6.0219 , 7.7563 
Grade_by_step2grade_3_step_13,  grade_3_step_13, 8.6840 , 6.0877 , 7.6577 
Grade_by_step2grade_3_step_14,  grade_3_step_14, 8.8942 , 6.0919 , 7.8320 
Grade_by_step2grade_3_step_X,  grade_3_step_X, 8.6791 , 5.9432 , 7.6664 
Grade_by_step2grade_4_step_01,  grade_4_step_01, 6.1262 , 4.5796 , 5.7692 
Grade_by_step2grade_4_step_02,  grade_4_step_02, 7.5417 , 5.1919 , 6.8079 
Grade_by_step2grade_4_step_03,  grade_4_step_03, 8.0589 , 5.4609 , 7.1898 
Grade_by_step2grade_4_step_04,  grade_4_step_04, 8.9039 , 6.1155 , 7.8703 
Grade_by_step2grade_4_step_05,  grade_4_step_05, 8.8506 , 6.1082 , 7.8103 
Grade_by_step2grade_4_step_06,  grade_4_step_06, 8.7030 , 5.9717 , 7.6942 
Grade_by_step2grade_4_step_07,  grade_4_step_07, 9.0522 , 6.0938 , 7.9093 
Grade_by_step2grade_4_step_08,  grade_4_step_08, 8.4256 , 5.7651 , 7.4298 
Grade_by_step2grade_4_step_09,  grade_4_step_09, 8.9902 , 5.9345 , 7.7476 
Grade_by_step2grade_4_step_10,  grade_4_step_10, 8.5285 , 5.8752 , 7.5543 
Grade_by_step2grade_4_step_11,  grade_4_step_11, 8.9477 , 6.3224 , 7.9552 
Grade_by_step2grade_4_step_12,  grade_4_step_12, 8.8662 , 5.9756 , 7.7365 
Grade_by_step2grade_4_step_13,  grade_4_step_13,-30.2011 ,-45.9571 ,-35.9113 
Grade_by_step2grade_4_step_14,  grade_4_step_14, -   , -   , -   
Grade_by_step2grade_4_step_X,  grade_4_step_X,-5.1313 ,-7.0849 ,-4.3219 
Grade_by_step2grade_5_step_01,  grade_5_step_01, 6.6962 , 4.9594 , 6.1766 
Grade_by_step2grade_5_step_02,  grade_5_step_02, 7.6247 , 4.8770 , 6.6477 
Grade_by_step2grade_5_step_03,  grade_5_step_03, 8.6298 , 5.8795 , 7.6216 
