empid,rundate,run_year,age,aptyrs,grade,salary,sex,retirement_eligible_year,retirement_eligible
1109,10/31/13,2013,56,1,5,33209,2,2019,FALSE
1151,10/31/13,2013,45,2,5,33402,2,2030,FALSE
1007,10/31/13,2013,49,8,7,43964,1,2025,FALSE
1018,10/31/13,2013,50,1,7,43792,2,2025,FALSE
1066,10/31/13,2013,52,2,7,46551,2,2023,FALSE
1069,10/31/13,2013,36,0,7,41002,1,NA,FALSE
1074,10/31/13,2013,46,11,7,48643,2,2026,FALSE
1095,10/31/13,2013,42,1,7,40084,1,2032,FALSE
1104,10/31/13,2013,49,3,7,42671,2,2025,FALSE
1116,10/31/13,2013,52,3,7,46551,2,2023,FALSE
1131,10/31/13,2013,25,0,7,38790,1,NA,FALSE
1141,10/31/13,2013,48,12,7,49994,1,2025,FALSE
1158,10/31/13,2013,32,0,7,41002,1,2041,FALSE
1165,10/31/13,2013,38,0,7,47838,2,2035,FALSE
1221,10/31/13,2013,43,5,7,45940,1,2029,FALSE
1226,10/31/13,2013,66,6,7,45940,1,2009,TRUE
1244,10/31/13,2013,55,4,7,42671,1,2020,FALSE
1248,10/31/13,2013,49,6,7,43964,1,2026,FALSE
1270,10/31/13,2013,24,0,7,43738,2,NA,FALSE
1287,10/31/13,2013,27,1,7,42370,1,2043,FALSE
1299,10/31/13,2013,48,0,7,41377,2,NA,FALSE
1325,10/31/13,2013,32,1,7,45196,2,2041,FALSE
1351,10/31/13,2013,55,0,7,43964,2,NA,FALSE
1358,10/31/13,2013,36,3,7,46655,1,2037,FALSE
1380,10/31/13,2013,51,3,7,47774,2,2024,FALSE
1399,10/31/13,2013,33,4,7,43964,2,NA,FALSE
1441,10/31/13,2013,28,1,7,40084,1,2043,FALSE
1037,10/31/13,2013,41,1,9,53497,1,2032,FALSE
1055,10/31/13,2013,68,20,9,67762,1,2006,TRUE
1062,10/31/13,2013,40,0,9,47448,1,NA,FALSE
1114,10/31/13,2013,57,28,9,71147,1,NA,FALSE
1127,10/31/13,2013,76,20,9,66941,1,1999,TRUE
1155,10/31/13,2013,55,16,9,60097,1,2018,FALSE
1166,10/31/13,2013,59,16,9,61678,1,2014,FALSE
1173,10/31/13,2013,58,23,9,61678,2,2015,FALSE
1200,10/31/13,2013,56,1,9,49029,1,2019,FALSE
1218,10/31/13,2013,33,4,9,64197,1,2039,FALSE
1220,10/31/13,2013,47,2,9,59896,1,2026,FALSE
1245,10/31/13,2013,50,3,9,69545,1,2025,FALSE
1250,10/31/13,2013,46,1,9,50022,1,2027,FALSE
1256,10/31/13,2013,52,0,9,47448,1,2022,FALSE
1284,10/31/13,2013,34,1,9,48313,2,2039,FALSE
1301,10/31/13,2013,40,2,9,49029,1,2033,FALSE
1320,10/31/13,2013,39,15,9,59700,1,2034,FALSE
